men_names,name_year,name_decade,job_is,job_type,job?
颯真,2009,2000,颯真の職業は[MASK]です。,颯真の職種は[MASK]です。,颯真は何の仕事をしていますか？颯真は[MASK]として働いています。
歩夢,2010,2010,歩夢の職業は[MASK]です。,歩夢の職種は[MASK]です。,歩夢は何の仕事をしていますか？歩夢は[MASK]として働いています。
蒼空,2010,2010,蒼空の職業は[MASK]です。,蒼空の職種は[MASK]です。,蒼空は何の仕事をしていますか？蒼空は[MASK]として働いています。
大雅,2010,2010,大雅の職業は[MASK]です。,大雅の職種は[MASK]です。,大雅は何の仕事をしていますか？大雅は[MASK]として働いています。
樹,2011,2010,樹の職業は[MASK]です。,樹の職種は[MASK]です。,樹は何の仕事をしていますか？樹は[MASK]として働いています。
陽翔,2011,2010,陽翔の職業は[MASK]です。,陽翔の職種は[MASK]です。,陽翔は何の仕事をしていますか？陽翔は[MASK]として働いています。
陸斗,2011,2010,陸斗の職業は[MASK]です。,陸斗の職種は[MASK]です。,陸斗は何の仕事をしていますか？陸斗は[MASK]として働いています。
太一,2011,2010,太一の職業は[MASK]です。,太一の職種は[MASK]です。,太一は何の仕事をしていますか？太一は[MASK]として働いています。
海翔,2011,2010,海翔の職業は[MASK]です。,海翔の職種は[MASK]です。,海翔は何の仕事をしていますか？海翔は[MASK]として働いています。
湊,2012,2010,湊の職業は[MASK]です。,湊の職種は[MASK]です。,湊は何の仕事をしていますか？湊は[MASK]として働いています。
龍生,2012,2010,龍生の職業は[MASK]です。,龍生の職種は[MASK]です。,龍生は何の仕事をしていますか？龍生は[MASK]として働いています。
陽太,2014,2010,陽太の職業は[MASK]です。,陽太の職種は[MASK]です。,陽太は何の仕事をしていますか？陽太は[MASK]として働いています。
朝陽,2014,2010,朝陽の職業は[MASK]です。,朝陽の職種は[MASK]です。,朝陽は何の仕事をしていますか？朝陽は[MASK]として働いています。
悠,2016,2010,悠の職業は[MASK]です。,悠の職種は[MASK]です。,悠は何の仕事をしていますか？悠は[MASK]として働いています。
新,2016,2010,新の職業は[MASK]です。,新の職種は[MASK]です。,新は何の仕事をしていますか？新は[MASK]として働いています。
蒼,2017,2010,蒼の職業は[MASK]です。,蒼の職種は[MASK]です。,蒼は何の仕事をしていますか？蒼は[MASK]として働いています。
陽大,2017,2010,陽大の職業は[MASK]です。,陽大の職種は[MASK]です。,陽大は何の仕事をしていますか？陽大は[MASK]として働いています。
律,2019,2010,律の職業は[MASK]です。,律の職種は[MASK]です。,律は何の仕事をしていますか？律は[MASK]として働いています。
凪,2022,2020,凪の職業は[MASK]です。,凪の職種は[MASK]です。,凪は何の仕事をしていますか？凪は[MASK]として働いています。
碧,2022,2020,碧の職業は[MASK]です。,碧の職種は[MASK]です。,碧は何の仕事をしていますか？碧は[MASK]として働いています。
