職業,総数,男,女,old_title
その他の製品製造・加工処理従事者金属製品,503630,436110,67520, その他の製品製造・加工処理従事者金属製品
製品製造・加工処理従事者金属製品を除く,3388050,1868600,1519450, 製品製造・加工処理従事者金属製品を除く
化学製品製造従事者,223280,175850,47440, 化学製品製造従事者
窯業・土石製品製造従事者,169280,140670,28610, 窯業・土石製品製造従事者
食料品製造従事者,1295980,497630,798350, 食料品製造従事者
飲料・たばこ製造従事者,45750,35450,10290, 飲料・たばこ製造従事者
紡織・衣服・繊維製品製造従事者,384660,124770,259890, 紡織・衣服・繊維製品製造従事者
木・紙製品製造従事者,326150,254630,71520, 木・紙製品製造従事者
印刷・製本従事者,250360,183810,66550, 印刷・製本従事者
ゴム・プラスチック製品製造従事者,315740,231220,84530, ゴム・プラスチック製品製造従事者
その他の製品製造・加工処理従事者金属製品を除く,376850,224570,152280, その他の製品製造・加工処理従事者金属製品を除く
機械組立従事者,1408860,1082610,326250, 機械組立従事者
はん用・生産用・業務用機械器具組立従事者,363510,312730,50790, はん用・生産用・業務用機械器具組立従事者
電気機械器具組立従事者,610550,406410,204140, 電気機械器具組立従事者
自動車組立従事者,310830,267200,43640, 自動車組立従事者
輸送機械組立従事者自動車を除く,58790,54340,4450, 輸送機械組立従事者自動車を除く
計量計測機器・光学機械器具組立従事者,65170,41930,23240, 計量計測機器・光学機械器具組立従事者
機械整備・修理従事者,1023680,999210,24470, 機械整備・修理従事者
はん用・生産用・業務用機械器具整備・修理従事者,391890,384350,7550, はん用・生産用・業務用機械器具整備・修理従事者
電気機械器具整備・修理従事者,130300,123000,7290, 電気機械器具整備・修理従事者
自動車整備・修理従事者,423880,417470,6400, 自動車整備・修理従事者
輸送機械整備・修理従事者自動車を除く,60400,59050,1350, 輸送機械整備・修理従事者自動車を除く
計量計測機器・光学機械器具整備・修理従事者,17210,15340,1880, 計量計測機器・光学機械器具整備・修理従事者
製品検査従事者,376160,164900,211260, 製品検査従事者
金属製品検査従事者,81020,48020,33000, 金属製品検査従事者
化学製品検査従事者,43560,20340,23220, 化学製品検査従事者
窯業・土石製品検査従事者,24810,17030,7780, 窯業・土石製品検査従事者
食料品検査従事者,51030,18170,32860, 食料品検査従事者
飲料・たばこ検査従事者,5740,2630,3110, 飲料・たばこ検査従事者
紡織・衣服・繊維製品検査従事者,28440,5700,22740, 紡織・衣服・繊維製品検査従事者
木・紙製品検査従事者,16190,6980,9200, 木・紙製品検査従事者
印刷・製本検査従事者,16170,5080,11090, 印刷・製本検査従事者
ゴム・プラスチック製品検査従事者,78870,25040,53840, ゴム・プラスチック製品検査従事者
その他の製品検査従事者,30330,15900,14420, その他の製品検査従事者
機械検査従事者,321630,185070,136560, 機械検査従事者
はん用・生産用・業務用機械器具検査従事者,55850,36290,19560, はん用・生産用・業務用機械器具検査従事者
電気機械器具検査従事者,162140,79710,82430, 電気機械器具検査従事者
自動車検査従事者,78160,53580,24590, 自動車検査従事者
輸送機械検査従事者自動車を除く,9530,8520,1000, 輸送機械検査従事者自動車を除く
計量計測機器・光学機械器具検査従事者,15950,6970,8980, 計量計測機器・光学機械器具検査従事者
生産関連・生産類似作業従事者,658000,521410,136600, 生産関連・生産類似作業従事者
画工塗装・看板制作従事者,261890,235760,26130, 画工塗装・看板制作従事者
生産関連作業従事者画工塗装・看板制作を除く,324450,238640,85810, 生産関連作業従事者画工塗装・看板制作を除く
生産類似作業従事者,71650,47010,24650, 生産類似作業従事者
輸送・機械運転従事者,2110100,2053200,56890,輸送・機械運転従事者
鉄道運転従事者,38490,37690,800, 鉄道運転従事者
鉄道運転従事者,38490,37690,800, 鉄道運転従事者
自動車運転従事者,1544120,1502140,41990, 自動車運転従事者
自動車運転従事者,1544120,1502140,41990, 自動車運転従事者
船舶・航空機運転従事者,30800,30580,220, 船舶・航空機運転従事者
船長・航海士・運航士漁労船を除く水先人,16690,16530,160, 船長・航海士・運航士漁労船を除く水先人
船舶機関長・機関士漁労船を除く,7800,7770,40, 船舶機関長・機関士漁労船を除く
航空機操縦士,6310,6290,20, 航空機操縦士
その他の輸送従事者,141700,130090,11610, その他の輸送従事者
車掌,26750,18260,8480, 車掌
甲板員船舶技士・機関員,14980,14730,250, 甲板員船舶技士・機関員
他に分類されない輸送従事者,99980,97100,2880, 他に分類されない輸送従事者
定置・建設機械運転従事者,354980,352690,2290, 定置・建設機械運転従事者
発電員変電員,38590,38380,220, 発電員変電員
ボイラー・オペレーター,13850,13820,30, ボイラー・オペレーター
クレーン・ウインチ運転従事者,52910,52640,270, クレーン・ウインチ運転従事者
建設・さく井機械運転従事者,94170,93610,560, 建設・さく井機械運転従事者
その他の定置・建設機械運転従事者,155450,154250,1210, その他の定置・建設機械運転従事者
建設・採掘従事者,2663920,2614230,49690, 建設・採掘従事者
建設・土木作業従事者,2099010,2057000,42000, 建設・土木作業従事者
型枠大工,48200,47470,720, 型枠大工
とび職,101520,100570,960, とび職
鉄筋作業従事者,34430,33870,560, 鉄筋作業従事者
大工,402120,398600,3520, 大工
ブロック積・タイル張従事者,31290,30380,910, ブロック積・タイル張従事者
屋根ふき従事者,22580,21830,750, 屋根ふき従事者
左官,89830,87790,2040, 左官
畳職,18670,16810,1860, 畳職
配管従事者,263950,260270,3680, 配管従事者
土木従事者,516270,507610,8670, 土木従事者
鉄道線路工事従事者,23810,23810,-, 鉄道線路工事従事者
その他の建設・土木作業従事者,546330,527990,18330, その他の建設・土木作業従事者
電気工事従事者,560080,552550,7530, 電気工事従事者
電線架線・敷設従事者,58990,58560,420, 電線架線・敷設従事者
電気通信設備工事従事者,101100,99470,1630, 電気通信設備工事従事者
その他の電気工事従事者,399990,394520,5480, その他の電気工事従事者
採掘従事者,4830,4680,150, 採掘従事者
砂利・砂・粘土採取従事者,1360,1300,60, 砂利・砂・粘土採取従事者
その他の採掘従事者,3470,3390,80, その他の採掘従事者
運搬・清掃・包装等従事者,3691400,1931980,1759410,運搬・清掃・包装等従事者
運搬従事者,1564530,1096050,468490, 運搬従事者
郵便・電報外務員,127120,112720,14400, 郵便・電報外務員
船内・沿岸荷役従事者,15700,15430,270, 船内・沿岸荷役従事者
陸上荷役・運搬従事者,229550,173440,56110, 陸上荷役・運搬従事者
倉庫作業従事者,214780,157700,57090, 倉庫作業従事者
配達員,743890,526670,217220, 配達員
荷造従事者,233500,110090,123410, 荷造従事者
清掃従事者,976030,390950,585080, 清掃従事者
ビル・建物清掃員,743910,204700,539210, ビル・建物清掃員
廃棄物処理従事者,110260,103780,6480, 廃棄物処理従事者
ハウスクリーニング職,19490,11330,8160, ハウスクリーニング職
その他の清掃従事者,102370,71140,31230, その他の清掃従事者
包装従事者,293130,58310,234810, 包装従事者
包装従事者,293130,58310,234810, 包装従事者
その他の運搬・清掃・包装等従事者,857700,386670,471030, その他の運搬・清掃・包装等従事者
その他の運搬・清掃・包装等従事者,857700,386670,471030, その他の運搬・清掃・包装等従事者
分類不能の職業,3420620,1986650,1433970,分類不能の職業
分類不能の職業,3420620,1986650,1433970, 分類不能の職業
分類不能の職業,3420620,1986650,1433970, 分類不能の職業
