統計名：,時系列データ 人口の労働力状態，就業者の産業・職業,,,,,,,,
表番号：,009-2010,,,,,,,,
表題：,職業（小分類），従業上の地位（７区分），男女別15歳以上就業者数－全国（平成22年）,,,,,,,,
実施年月：,2005年,-,,,,,,,
334,就業者数【人】,2010000000,2010年,88,69 庶務・人事事務員,,825010,356460,468550
334,就業者数【人】,2010000000,2010年,89,70 受付・案内事務員,,355640,46600,309040
334,就業者数【人】,2010000000,2010年,90,71 電話応接事務員,,245710,45000,200710
334,就業者数【人】,2010000000,2010年,91,72 総合事務員,,3091490,789450,2302040
334,就業者数【人】,2010000000,2010年,92,73 その他の一般事務従事者,,3151650,1898770,1252880
334,就業者数【人】,2010000000,2010年,93,(17) 会計事務従事者,,1617370,427960,1189410
334,就業者数【人】,2010000000,2010年,94,74 会計事務従事者,,1617370,427960,1189410
334,就業者数【人】,2010000000,2010年,95,(18) 生産関連事務従事者,,490980,338780,152200
334,就業者数【人】,2010000000,2010年,96,75 生産関連事務従事者,,490980,338780,152200
334,就業者数【人】,2010000000,2010年,97,(19) 営業・販売事務従事者,,562860,219000,343860
334,就業者数【人】,2010000000,2010年,98,76 営業・販売事務従事者,,562860,219000,343860
334,就業者数【人】,2010000000,2010年,99,(20) 外勤事務従事者,,153600,54100,99510
334,就業者数【人】,2010000000,2010年,100,77 集金人,,31780,12570,19220
334,就業者数【人】,2010000000,2010年,101,78 調査員,,82300,30410,51890
334,就業者数【人】,2010000000,2010年,102,79 その他の外勤事務従事者,,39520,11120,28400
334,就業者数【人】,2010000000,2010年,103,(21) 運輸・郵便事務従事者,,367340,228800,138540
334,就業者数【人】,2010000000,2010年,104,80 運輸事務員,,201160,152150,49020
334,就業者数【人】,2010000000,2010年,105,81 郵便事務員,,166180,76660,89520
334,就業者数【人】,2010000000,2010年,106,(22) 事務用機器操作員,,214480,59330,155150
334,就業者数【人】,2010000000,2010年,107,82 パーソナルコンピュータ操作員,,89560,27130,62430
334,就業者数【人】,2010000000,2010年,108,83 データ・エントリー装置操作員,,95940,16180,79760
334,就業者数【人】,2010000000,2010年,109,84 その他の事務用機器操作員,,28990,16020,12960
334,就業者数【人】,2010000000,2010年,110,Ｄ 販売従事者,,7943680,4589840,3353840
334,就業者数【人】,2010000000,2010年,111,(23) 商品販売従事者,,4242450,1590780,2651680
334,就業者数【人】,2010000000,2010年,112,85 小売店主・店長,,433860,311430,122430
334,就業者数【人】,2010000000,2010年,113,86 卸売店主・店長,,61620,54930,6690
334,就業者数【人】,2010000000,2010年,114,87 販売店員,,3636820,1147330,2489490
334,就業者数【人】,2010000000,2010年,115,88 商品訪問・移動販売従事者,,42540,17860,24680
334,就業者数【人】,2010000000,2010年,116,89 再生資源回収・卸売従事者,,28720,26270,2440
334,就業者数【人】,2010000000,2010年,117,90 商品仕入外交員,,38900,32960,5940
334,就業者数【人】,2010000000,2010年,118,(24) 販売類似職業従事者,,444910,242350,202560
334,就業者数【人】,2010000000,2010年,119,91 不動産仲介・売買人,,95810,76610,19200
334,就業者数【人】,2010000000,2010年,120,92 保険代理・仲立人（ブローカー）,,38060,29350,8700
334,就業者数【人】,2010000000,2010年,121,93 その他の販売類似職業従事者,,311040,136380,174660
334,就業者数【人】,2010000000,2010年,122,(25) 営業職業従事者,,3256320,2756710,499600
334,就業者数【人】,2010000000,2010年,123,94 医薬品営業職業従事者,,101680,91820,9860
334,就業者数【人】,2010000000,2010年,124,95 機械器具・通信・システム営業職業従事者,,674520,636690,37830
334,就業者数【人】,2010000000,2010年,125,96 金融・保険営業職業従事者,,519740,273660,246080
334,就業者数【人】,2010000000,2010年,126,97 不動産営業職業従事者,,107200,89900,17300
334,就業者数【人】,2010000000,2010年,127,98 その他の営業職業従事者,,1853170,1664640,188540
334,就業者数【人】,2010000000,2010年,128,Ｅ サービス職業従事者,,6808580,2212420,4596160
334,就業者数【人】,2010000000,2010年,129,(26) 家庭生活支援サービス職業従事者,,24220,910,23310
334,就業者数【人】,2010000000,2010年,130,99 家政婦（夫），家事手伝い,,16430,400,16030
334,就業者数【人】,2010000000,2010年,131,100 その他の家庭生活支援サービス職業従事者,,7790,510,7280
334,就業者数【人】,2010000000,2010年,132,(27) 介護サービス職業従事者,,1261850,250150,1011700
334,就業者数【人】,2010000000,2010年,133,101 介護職員（医療・福祉施設等）,,986150,229580,756570
334,就業者数【人】,2010000000,2010年,134,102 訪問介護従事者,,275690,20570,255120
334,就業者数【人】,2010000000,2010年,135,(28) 保健医療サービス職業従事者,,330320,21450,308870
334,就業者数【人】,2010000000,2010年,136,103 看護助手,,148210,11470,136750
334,就業者数【人】,2010000000,2010年,137,104 その他の保健医療サービス職業従事者,,182110,9980,172120
334,就業者数【人】,2010000000,2010年,138,(29) 生活衛生サービス職業従事者,,833050,269510,563540
334,就業者数【人】,2010000000,2010年,139,105 理容師,,186830,110480,76350
334,就業者数【人】,2010000000,2010年,140,106 美容師,,359540,83630,275910
334,就業者数【人】,2010000000,2010年,141,107 美容サービス従事者（美容師を除く）,,109170,5900,103270
334,就業者数【人】,2010000000,2010年,142,108 浴場従事者,,43810,15900,27900
334,就業者数【人】,2010000000,2010年,143,109 クリーニング職，洗張職,,133700,53590,80110
334,就業者数【人】,2010000000,2010年,144,(30) 飲食物調理従事者,,1949820,827640,1122180
334,就業者数【人】,2010000000,2010年,145,110 調理人,,1942850,822280,1120570
334,就業者数【人】,2010000000,2010年,146,111 バーテンダー,,6970,5360,1610
334,就業者数【人】,2010000000,2010年,147,(31) 接客・給仕職業従事者,,1662730,516450,1146280
334,就業者数【人】,2010000000,2010年,148,112 飲食店主・店長,,141640,67860,73780
334,就業者数【人】,2010000000,2010年,149,113 旅館主・支配人,,26850,18870,7980
334,就業者数【人】,2010000000,2010年,150,114 飲食物給仕・身の回り世話従事者,,976280,203910,772370
334,就業者数【人】,2010000000,2010年,151,115 接客社交従事者,,34720,3330,31390
334,就業者数【人】,2010000000,2010年,152,116 娯楽場等接客員,,483240,222480,260760
334,就業者数【人】,2010000000,2010年,153,(32) 居住施設・ビル等管理人,,284770,200730,84030
334,就業者数【人】,2010000000,2010年,154,117 マンション・アパート・下宿・寄宿舎・寮管理人,,157910,97620,60290
334,就業者数【人】,2010000000,2010年,155,118 ビル管理人,,58390,46120,12270
334,就業者数【人】,2010000000,2010年,156,119 駐車場管理人,,68460,57000,11470
334,就業者数【人】,2010000000,2010年,157,(33) その他のサービス職業従事者,,461820,125570,336250
334,就業者数【人】,2010000000,2010年,158,120 旅行・観光案内人,,19650,8650,11000
334,就業者数【人】,2010000000,2010年,159,121 物品一時預り人,,1710,750,960
334,就業者数【人】,2010000000,2010年,160,122 物品賃貸人,,76890,42160,34730
334,就業者数【人】,2010000000,2010年,161,123 広告宣伝員,,26280,5910,20370
334,就業者数【人】,2010000000,2010年,162,124 葬儀師，火葬作業員,,46510,26670,19840
334,就業者数【人】,2010000000,2010年,163,125 他に分類されないサービス職業従事者,,290780,41440,249340
334,就業者数【人】,2010000000,2010年,164,Ｆ 保安職業従事者,,1079670,1018560,61110
334,就業者数【人】,2010000000,2010年,165,(34) 保安職業従事者,,1079670,1018560,61110
334,就業者数【人】,2010000000,2010年,166,126 自衛官,,227930,214160,13770
334,就業者数【人】,2010000000,2010年,167,127 警察官，海上保安官,,253220,234120,19100
334,就業者数【人】,2010000000,2010年,168,128 看守，その他の司法警察職員,,15030,13850,1180
334,就業者数【人】,2010000000,2010年,169,129 消防員,,149270,146570,2710
334,就業者数【人】,2010000000,2010年,170,130 警備員,,345540,331780,13760
334,就業者数【人】,2010000000,2010年,171,131 他に分類されない保安職業従事者,,88670,78090,10590
334,就業者数【人】,2010000000,2010年,172,Ｇ 農林漁業従事者,,2347180,1467690,879490
334,就業者数【人】,2010000000,2010年,173,(35) 農業従事者,,2130810,1288500,842310
334,就業者数【人】,2010000000,2010年,174,132 農耕従事者,,1814310,1045950,768360
334,就業者数【人】,2010000000,2010年,175,133 養畜従事者,,173030,110840,62190
334,就業者数【人】,2010000000,2010年,176,134 植木職，造園師,,137740,127030,10710
334,就業者数【人】,2010000000,2010年,177,135 その他の農業従事者,,5730,4690,1040
334,就業者数【人】,2010000000,2010年,178,(36) 林業従事者,,51200,48180,3020
334,就業者数【人】,2010000000,2010年,179,136 育林従事者,,27410,25890,1520
334,就業者数【人】,2010000000,2010年,180,137 伐木・造材・集材従事者,,18860,18250,610
334,就業者数【人】,2010000000,2010年,181,138 その他の林業従事者,,4930,4030,890
334,就業者数【人】,2010000000,2010年,182,(37) 漁業従事者,,165170,131010,34170
334,就業者数【人】,2010000000,2010年,183,139 漁労従事者,,91500,78940,12560
334,就業者数【人】,2010000000,2010年,184,140 船長・航海士・機関長・機関士（漁労船）,,10710,10680,20
334,就業者数【人】,2010000000,2010年,185,141 海藻・貝採取従事者,,13810,10010,3800
334,就業者数【人】,2010000000,2010年,186,142 水産養殖従事者,,44480,30060,14420
334,就業者数【人】,2010000000,2010年,187,143 その他の漁業従事者,,4680,1310,3370
334,就業者数【人】,2010000000,2010年,188,Ｈ 生産工程従事者,,8410220,5940390,2469830
334,就業者数【人】,2010000000,2010年,189,(38) 製品製造・加工処理従事者（金属製品）,,1233840,1118600,115240
334,就業者数【人】,2010000000,2010年,190,144 製銑・製鋼・非鉄金属製錬従事者,,38570,37660,910
334,就業者数【人】,2010000000,2010年,191,145 鋳物製造・鍛造従事者,,45390,42980,2410
334,就業者数【人】,2010000000,2010年,192,146 金属工作機械作業従事者,,170010,156700,13310
334,就業者数【人】,2010000000,2010年,193,147 金属プレス従事者,,74560,63430,11130
334,就業者数【人】,2010000000,2010年,194,148 鉄工，製缶従事者,,73160,70780,2390
334,就業者数【人】,2010000000,2010年,195,149 板金従事者,,93950,89220,4730
334,就業者数【人】,2010000000,2010年,196,150 金属彫刻・表面処理従事者,,42860,38330,4530
334,就業者数【人】,2010000000,2010年,197,151 金属溶接・溶断従事者,,191700,183410,8300
334,就業者数【人】,2010000000,2010年,198,152 その他の製品製造・加工処理従事者（金属製品）,,503630,436110,67520
334,就業者数【人】,2010000000,2010年,199,(39) 製品製造・加工処理従事者（金属製品を除く）,,3388050,1868600,1519450
334,就業者数【人】,2010000000,2010年,200,153 化学製品製造従事者,,223280,175850,47440
334,就業者数【人】,2010000000,2010年,201,154 窯業・土石製品製造従事者,,169280,140670,28610
334,就業者数【人】,2010000000,2010年,202,155 食料品製造従事者,,1295980,497630,798350
334,就業者数【人】,2010000000,2010年,203,156 飲料・たばこ製造従事者,,45750,35450,10290
334,就業者数【人】,2010000000,2010年,204,157 紡織・衣服・繊維製品製造従事者,,384660,124770,259890
334,就業者数【人】,2010000000,2010年,205,158 木・紙製品製造従事者,,326150,254630,71520
334,就業者数【人】,2010000000,2010年,206,159 印刷・製本従事者,,250360,183810,66550
334,就業者数【人】,2010000000,2010年,207,160 ゴム・プラスチック製品製造従事者,,315740,231220,84530
334,就業者数【人】,2010000000,2010年,208,161 その他の製品製造・加工処理従事者（金属製品を除く）,,376850,224570,152280
334,就業者数【人】,2010000000,2010年,209,(40) 機械組立従事者,,1408860,1082610,326250
334,就業者数【人】,2010000000,2010年,210,162 はん用・生産用・業務用機械器具組立従事者,,363510,312730,50790
334,就業者数【人】,2010000000,2010年,211,163 電気機械器具組立従事者,,610550,406410,204140
334,就業者数【人】,2010000000,2010年,212,164 自動車組立従事者,,310830,267200,43640
334,就業者数【人】,2010000000,2010年,213,165 輸送機械組立従事者（自動車を除く）,,58790,54340,4450
334,就業者数【人】,2010000000,2010年,214,166 計量計測機器・光学機械器具組立従事者,,65170,41930,23240
334,就業者数【人】,2010000000,2010年,215,(41) 機械整備・修理従事者,,1023680,999210,24470
334,就業者数【人】,2010000000,2010年,216,167 はん用・生産用・業務用機械器具整備・修理従事者,,391890,384350,7550
334,就業者数【人】,2010000000,2010年,217,168 電気機械器具整備・修理従事者,,130300,123000,7290
334,就業者数【人】,2010000000,2010年,218,169 自動車整備・修理従事者,,423880,417470,6400
334,就業者数【人】,2010000000,2010年,219,170 輸送機械整備・修理従事者（自動車を除く）,,60400,59050,1350
334,就業者数【人】,2010000000,2010年,220,171 計量計測機器・光学機械器具整備・修理従事者,,17210,15340,1880
334,就業者数【人】,2010000000,2010年,221,(42) 製品検査従事者,,376160,164900,211260
334,就業者数【人】,2010000000,2010年,222,172 金属製品検査従事者,,81020,48020,33000
334,就業者数【人】,2010000000,2010年,223,173 化学製品検査従事者,,43560,20340,23220
334,就業者数【人】,2010000000,2010年,224,174 窯業・土石製品検査従事者,,24810,17030,7780
334,就業者数【人】,2010000000,2010年,225,175 食料品検査従事者,,51030,18170,32860
334,就業者数【人】,2010000000,2010年,226,176 飲料・たばこ検査従事者,,5740,2630,3110
334,就業者数【人】,2010000000,2010年,227,177 紡織・衣服・繊維製品検査従事者,,28440,5700,22740
334,就業者数【人】,2010000000,2010年,228,178 木・紙製品検査従事者,,16190,6980,9200
334,就業者数【人】,2010000000,2010年,229,179 印刷・製本検査従事者,,16170,5080,11090
334,就業者数【人】,2010000000,2010年,230,180 ゴム・プラスチック製品検査従事者,,78870,25040,53840
334,就業者数【人】,2010000000,2010年,231,181 その他の製品検査従事者,,30330,15900,14420
334,就業者数【人】,2010000000,2010年,232,(43) 機械検査従事者,,321630,185070,136560
334,就業者数【人】,2010000000,2010年,233,182 はん用・生産用・業務用機械器具検査従事者,,55850,36290,19560
334,就業者数【人】,2010000000,2010年,234,183 電気機械器具検査従事者,,162140,79710,82430
334,就業者数【人】,2010000000,2010年,235,184 自動車検査従事者,,78160,53580,24590
334,就業者数【人】,2010000000,2010年,236,185 輸送機械検査従事者（自動車を除く）,,9530,8520,1000
334,就業者数【人】,2010000000,2010年,237,186 計量計測機器・光学機械器具検査従事者,,15950,6970,8980
334,就業者数【人】,2010000000,2010年,238,(44) 生産関連・生産類似作業従事者,,658000,521410,136600
334,就業者数【人】,2010000000,2010年,239,187 画工，塗装・看板制作従事者,,261890,235760,26130
334,就業者数【人】,2010000000,2010年,240,188 生産関連作業従事者（画工，塗装・看板制作を除く）,,324450,238640,85810
334,就業者数【人】,2010000000,2010年,241,189 生産類似作業従事者,,71650,47010,24650
334,就業者数【人】,2010000000,2010年,242,Ｉ 輸送・機械運転従事者,,2110100,2053200,56890
334,就業者数【人】,2010000000,2010年,243,(45) 鉄道運転従事者,,38490,37690,800
334,就業者数【人】,2010000000,2010年,244,190 鉄道運転従事者,,38490,37690,800
334,就業者数【人】,2010000000,2010年,245,(46) 自動車運転従事者,,1544120,1502140,41990
334,就業者数【人】,2010000000,2010年,246,191 自動車運転従事者,,1544120,1502140,41990
334,就業者数【人】,2010000000,2010年,247,(47) 船舶・航空機運転従事者,,30800,30580,220
334,就業者数【人】,2010000000,2010年,248,192 船長・航海士・運航士（漁労船を除く），水先人,,16690,16530,160
334,就業者数【人】,2010000000,2010年,249,193 船舶機関長・機関士（漁労船を除く）,,7800,7770,40
334,就業者数【人】,2010000000,2010年,250,194 航空機操縦士,,6310,6290,20
334,就業者数【人】,2010000000,2010年,251,(48) その他の輸送従事者,,141700,130090,11610
334,就業者数【人】,2010000000,2010年,252,195 車掌,,26750,18260,8480
334,就業者数【人】,2010000000,2010年,253,196 甲板員，船舶技士・機関員,,14980,14730,250
334,就業者数【人】,2010000000,2010年,254,197 他に分類されない輸送従事者,,99980,97100,2880
334,就業者数【人】,2010000000,2010年,255,(49) 定置・建設機械運転従事者,,354980,352690,2290
334,就業者数【人】,2010000000,2010年,256,198 発電員，変電員,,38590,38380,220
334,就業者数【人】,2010000000,2010年,257,199 ボイラー・オペレーター,,13850,13820,30
334,就業者数【人】,2010000000,2010年,258,200 クレーン・ウインチ運転従事者,,52910,52640,270
334,就業者数【人】,2010000000,2010年,259,201 建設・さく井機械運転従事者,,94170,93610,560
334,就業者数【人】,2010000000,2010年,260,202 その他の定置・建設機械運転従事者,,155450,154250,1210
334,就業者数【人】,2010000000,2010年,261,Ｊ 建設・採掘従事者,,2663920,2614230,49690
334,就業者数【人】,2010000000,2010年,262,(50) 建設・土木作業従事者,,2099010,2057000,42000
334,就業者数【人】,2010000000,2010年,263,203 型枠大工,,48200,47470,720
334,就業者数【人】,2010000000,2010年,264,204 とび職,,101520,100570,960
334,就業者数【人】,2010000000,2010年,265,205 鉄筋作業従事者,,34430,33870,560
334,就業者数【人】,2010000000,2010年,266,206 大工,,402120,398600,3520
334,就業者数【人】,2010000000,2010年,267,207 ブロック積・タイル張従事者,,31290,30380,910
334,就業者数【人】,2010000000,2010年,268,208 屋根ふき従事者,,22580,21830,750
334,就業者数【人】,2010000000,2010年,269,209 左官,,89830,87790,2040
334,就業者数【人】,2010000000,2010年,270,210 畳職,,18670,16810,1860
334,就業者数【人】,2010000000,2010年,271,211 配管従事者,,263950,260270,3680
334,就業者数【人】,2010000000,2010年,272,212 土木従事者,,516270,507610,8670
334,就業者数【人】,2010000000,2010年,273,213 鉄道線路工事従事者,,23810,23810,-
334,就業者数【人】,2010000000,2010年,274,214 その他の建設・土木作業従事者,,546330,527990,18330
334,就業者数【人】,2010000000,2010年,275,(51) 電気工事従事者,,560080,552550,7530
334,就業者数【人】,2010000000,2010年,276,215 電線架線・敷設従事者,,58990,58560,420
334,就業者数【人】,2010000000,2010年,277,216 電気通信設備工事従事者,,101100,99470,1630
334,就業者数【人】,2010000000,2010年,278,217 その他の電気工事従事者,,399990,394520,5480
334,就業者数【人】,2010000000,2010年,279,(52) 採掘従事者,,4830,4680,150
334,就業者数【人】,2010000000,2010年,280,218 砂利・砂・粘土採取従事者,,1360,1300,60
334,就業者数【人】,2010000000,2010年,281,219 その他の採掘従事者,,3470,3390,80
334,就業者数【人】,2010000000,2010年,282,Ｋ 運搬・清掃・包装等従事者,,3691400,1931980,1759410
334,就業者数【人】,2010000000,2010年,283,(53) 運搬従事者,,1564530,1096050,468490
334,就業者数【人】,2010000000,2010年,284,220 郵便・電報外務員,,127120,112720,14400
334,就業者数【人】,2010000000,2010年,285,221 船内・沿岸荷役従事者,,15700,15430,270
334,就業者数【人】,2010000000,2010年,286,222 陸上荷役・運搬従事者,,229550,173440,56110
334,就業者数【人】,2010000000,2010年,287,223 倉庫作業従事者,,214780,157700,57090
334,就業者数【人】,2010000000,2010年,288,224 配達員,,743890,526670,217220
334,就業者数【人】,2010000000,2010年,289,225 荷造従事者,,233500,110090,123410
334,就業者数【人】,2010000000,2010年,290,(54) 清掃従事者,,976030,390950,585080
334,就業者数【人】,2010000000,2010年,291,226 ビル・建物清掃員,,743910,204700,539210
334,就業者数【人】,2010000000,2010年,292,227 廃棄物処理従事者,,110260,103780,6480
334,就業者数【人】,2010000000,2010年,293,228 ハウスクリーニング職,,19490,11330,8160
334,就業者数【人】,2010000000,2010年,294,229 その他の清掃従事者,,102370,71140,31230
334,就業者数【人】,2010000000,2010年,295,(55) 包装従事者,,293130,58310,234810
334,就業者数【人】,2010000000,2010年,296,230 包装従事者,,293130,58310,234810
334,就業者数【人】,2010000000,2010年,297,(56) その他の運搬・清掃・包装等従事者,,857700,386670,471030
334,就業者数【人】,2010000000,2010年,298,231 その他の運搬・清掃・包装等従事者,,857700,386670,471030
334,就業者数【人】,2010000000,2010年,299,Ｌ 分類不能の職業,,3420620,1986650,1433970
334,就業者数【人】,2010000000,2010年,300,(57) 分類不能の職業,,3420620,1986650,1433970
334,就業者数【人】,2010000000,2010年,301,232 分類不能の職業,,3420620,1986650,1433970
