統計名：,時系列データ 人口の労働力状態，就業者の産業・職業,,,,,,,,
表番号：,009-1990,,,,,,,,
表題：,職業（小分類），従業上の地位（７区分），男女別15歳以上就業者数－全国（平成2年）,,,,,,,,
実施年月：,2005年,-,,,,,,,
334,就業者数【人】,1990000000,1990年,990,Ｄ販売従事者,,8795460,5564595,3230865
334,就業者数【人】,1990000000,1990年,1000,(20)商品販売従事者,,6920183,4275964,2644219
334,就業者数【人】,1990000000,1990年,1010,67小売店主,,1031474,756402,275072
334,就業者数【人】,1990000000,1990年,1020,68卸売店主,,183533,169175,14358
334,就業者数【人】,1990000000,1990年,1030,69飲食店主,,378362,172201,206161
334,就業者数【人】,1990000000,1990年,1040,70販売店員,,3071867,1119657,1952210
334,就業者数【人】,1990000000,1990年,1050,71商品訪問・移動販売従事者,,88884,35814,53070
334,就業者数【人】,1990000000,1990年,1060,72再生資源卸売・回収従事者,,38479,32994,5485
334,就業者数【人】,1990000000,1990年,1070,73商品販売外交員,,2118599,1981096,137503
334,就業者数【人】,1990000000,1990年,1080,74商品仲立人,,8985,8625,360
334,就業者数【人】,1990000000,1990年,1090,(21)販売類似職業従事者,,1875277,1288631,586646
334,就業者数【人】,1990000000,1990年,1100,75不動産仲介人・売買人,,308625,244960,63665
334,就業者数【人】,1990000000,1990年,1110,76保険代理人・外交員,,517419,155570,361849
334,就業者数【人】,1990000000,1990年,1120,77質屋店主・店員,,6592,3643,2949
334,就業者数【人】,1990000000,1990年,1130,78外交員(商品，保険，不動産を除く),,860234,772095,88139
334,就業者数【人】,1990000000,1990年,1140,79その他の販売類似職業従事者,,182407,112363,70044
334,就業者数【人】,1990000000,1990年,1150,Ｅサービス職業従事者,,4474816,1657021,2817795
334,就業者数【人】,1990000000,1990年,1160,(22)家事サービス職業従事者,,95117,2243,92874
334,就業者数【人】,1990000000,1990年,1170,80家事手伝い(住込みの女子),,11801,-,11801
334,就業者数【人】,1990000000,1990年,1180,81家政婦,,42230,-,42230
334,就業者数【人】,1990000000,1990年,1190,82その他の家事サービス職業従事者,,41086,2243,38843
334,就業者数【人】,1990000000,1990年,1200,(23)生活衛生サービス職業従事者,,837112,285066,552046
334,就業者数【人】,1990000000,1990年,1210,83理容師(見習を含む),,266648,138607,128041
334,就業者数【人】,1990000000,1990年,1220,84美容師(見習を含む),,366101,51344,314757
334,就業者数【人】,1990000000,1990年,1230,85浴場従事者,,32902,14756,18146
334,就業者数【人】,1990000000,1990年,1240,86クリーニング工，洗張職,,171461,80359,91102
334,就業者数【人】,1990000000,1990年,1250,(24)飲食物調理従事者,,1680016,806066,873950
334,就業者数【人】,1990000000,1990年,1260,87調理人,,1663459,791147,872312
334,就業者数【人】,1990000000,1990年,1270,88バーテンダー,,16557,14919,1638
334,就業者数【人】,1990000000,1990年,1280,(25)接客・給仕職業従事者,,1417451,360962,1056489
334,就業者数【人】,1990000000,1990年,1290,89飲食物給仕・身の回り世話係,,906795,180505,726290
334,就業者数【人】,1990000000,1990年,1300,90接客社交係,,94850,5040,89810
334,就業者数【人】,1990000000,1990年,1310,91芸者，ダンサー,,9210,116,9094
334,就業者数【人】,1990000000,1990年,1320,92娯楽場等の接客員,,349817,138008,211809
334,就業者数【人】,1990000000,1990年,1330,93旅館主・支配人・番頭,,56779,37293,19486
334,就業者数【人】,1990000000,1990年,1340,(26)居住施設・ビル等管理人,,172764,101524,71240
334,就業者数【人】,1990000000,1990年,1350,94マンション・アパート・下宿・寄宿舎・寮の管理人,,93188,39205,53983
334,就業者数【人】,1990000000,1990年,1360,95ビル管理人,,35031,27047,7984
334,就業者数【人】,1990000000,1990年,1370,96駐車場管理人,,44545,35272,9273
334,就業者数【人】,1990000000,1990年,1380,(27)その他のサービス職業従事者,,272356,101160,171196
334,就業者数【人】,1990000000,1990年,1390,97旅行・観光案内人,,23639,15512,8127
334,就業者数【人】,1990000000,1990年,1400,98物品一時預り人，賃貸人,,62837,37131,25706
334,就業者数【人】,1990000000,1990年,1410,99広告宣伝員,,48046,6194,41852
334,就業者数【人】,1990000000,1990年,1420,100他に分類されないサービス職業従事者,,137834,42323,95511
334,就業者数【人】,1990000000,1990年,1430,Ｆ保安職業従事者,,871219,843149,28070
334,就業者数【人】,1990000000,1990年,1440,(28)保安職業従事者,,871219,843149,28070
334,就業者数【人】,1990000000,1990年,1450,101自衛官,,250268,242588,7680
334,就業者数【人】,1990000000,1990年,1460,102警察官，海上保安官,,237101,229308,7793
334,就業者数【人】,1990000000,1990年,1470,103看守，その他の司法警察職員,,14992,14146,846
334,就業者数【人】,1990000000,1990年,1480,104消防員,,127606,126686,920
334,就業者数【人】,1990000000,1990年,1490,105警備員,,217185,211612,5573
334,就業者数【人】,1990000000,1990年,1500,106その他の保安職業従事者,,24067,18809,5258
334,就業者数【人】,1990000000,1990年,1510,Ｇ農林漁業作業者,,4356722,2404084,1952638
334,就業者数【人】,1990000000,1990年,1520,(29)農業作業者,,3916084,2053168,1862916
334,就業者数【人】,1990000000,1990年,1530,107農耕・養蚕作業者,,3503932,1784658,1719274
334,就業者数【人】,1990000000,1990年,1540,108養畜作業者,,302138,171774,130364
334,就業者数【人】,1990000000,1990年,1550,109植木職，造園師,,104723,93040,11683
334,就業者数【人】,1990000000,1990年,1560,110その他の農業作業者,,5291,3696,1595
334,就業者数【人】,1990000000,1990年,1570,(30)林業作業者,,100497,86243,14254
334,就業者数【人】,1990000000,1990年,1580,111育林作業者,,58423,47575,10848
334,就業者数【人】,1990000000,1990年,1590,112伐木・造材作業者,,28829,27013,1816
334,就業者数【人】,1990000000,1990年,1600,113集材・運材作業者,,7657,7147,510
334,就業者数【人】,1990000000,1990年,1610,114製炭・製薪作業者,,2129,1563,566
334,就業者数【人】,1990000000,1990年,1620,115その他の林業作業者,,3459,2945,514
334,就業者数【人】,1990000000,1990年,1630,(31)漁業作業者,,340141,264673,75468
334,就業者数【人】,1990000000,1990年,1640,116漁ろう作業者,,180823,157205,23618
334,就業者数【人】,1990000000,1990年,1650,117海草・貝採取作業者,,32832,21996,10836
334,就業者数【人】,1990000000,1990年,1660,118漁ろう船の船長・航海士・機関長・機関士,,29028,29004,24
334,就業者数【人】,1990000000,1990年,1670,119水産養殖作業者,,84356,53505,30851
334,就業者数【人】,1990000000,1990年,1680,120その他の漁業作業者,,13102,2963,10139
334,就業者数【人】,1990000000,1990年,1690,Ｈ運輸・通信従事者,,2330567,2217407,113160
334,就業者数【人】,1990000000,1990年,1700,(32)鉄道運転従事者,,43501,43497,4
334,就業者数【人】,1990000000,1990年,1710,121電気・ディーゼル・蒸気機関士,,3228,3228,-
334,就業者数【人】,1990000000,1990年,1720,122電車・気動車運転士,,40273,40269,4
334,就業者数【人】,1990000000,1990年,1730,(33)自動車運転者,,1907987,1883898,24089
334,就業者数【人】,1990000000,1990年,1740,123自動車運転者,,1907987,1883898,24089
334,就業者数【人】,1990000000,1990年,1750,(34)船舶・航空機運転従事者,,54421,53843,578
334,就業者数【人】,1990000000,1990年,1760,124船長・航海士・運転士(漁ろう船を除く)，水先人,,29442,29272,170
334,就業者数【人】,1990000000,1990年,1770,125船舶機関長・機関士(漁ろう船を除く),,19113,18719,394
334,就業者数【人】,1990000000,1990年,1780,126航空機操縦士，航空機関士,,5866,5852,14
334,就業者数【人】,1990000000,1990年,1790,(35)その他の運輸従事者,,145547,122806,22741
334,就業者数【人】,1990000000,1990年,1800,127車掌,,46321,25005,21316
334,就業者数【人】,1990000000,1990年,1810,128操車掛，信号掛，転てつ手，連結手,,8048,8048,-
334,就業者数【人】,1990000000,1990年,1820,129甲板員・船舶技士,,23194,22869,325
334,就業者数【人】,1990000000,1990年,1830,130船舶機関員,,4828,4799,29
334,就業者数【人】,1990000000,1990年,1840,131他に分類されない運輸従事者,,63156,62085,1071
334,就業者数【人】,1990000000,1990年,1850,(36)通信従事者,,179111,113363,65748
334,就業者数【人】,1990000000,1990年,1860,132無線通信・無線技術従事者,,19399,18476,923
334,就業者数【人】,1990000000,1990年,1870,133有線通信員,,5718,4771,947
334,就業者数【人】,1990000000,1990年,1880,134電話交換手,,60218,2516,57702
334,就業者数【人】,1990000000,1990年,1890,135郵便・電報外務員,,89083,83251,5832
334,就業者数【人】,1990000000,1990年,1900,136その他の通信従事者,,4693,4349,344
334,就業者数【人】,1990000000,1990年,1910,Ｉ技能工，採掘・製造・建設作業者及び労務作業者,,18948615,13107843,5840772
334,就業者数【人】,1990000000,1990年,1920,Ｉ－１採掘作業者,,43618,42197,1421
334,就業者数【人】,1990000000,1990年,1930,(37)採掘作業者,,43618,42197,1421
334,就業者数【人】,1990000000,1990年,1940,137採鉱員,,2862,2786,76
334,就業者数【人】,1990000000,1990年,1950,138採炭員,,3522,3522,-
334,就業者数【人】,1990000000,1990年,1960,139石切出作業員,,4417,4270,147
334,就業者数【人】,1990000000,1990年,1970,140砂利・砂・粘土採取作業者,,8542,8162,380
334,就業者数【人】,1990000000,1990年,1980,141支柱員,,783,783,-
334,就業者数【人】,1990000000,1990年,1990,142坑内運搬員,,885,885,-
334,就業者数【人】,1990000000,1990年,2000,143選鉱員，選炭員,,1561,1235,326
334,就業者数【人】,1990000000,1990年,2010,144その他の採掘作業者,,21046,20554,492
334,就業者数【人】,1990000000,1990年,2020,Ｉ－２窯業・土石製品・金属材料・化学製品製造作業者,,945607,767484,178123
334,就業者数【人】,1990000000,1990年,2030,(38)窯業・土石製品製造作業者,,370916,271897,99019
334,就業者数【人】,1990000000,1990年,2040,145窯業原料工,,6561,5664,897
334,就業者数【人】,1990000000,1990年,2050,146ガラス製品成形工,,25675,22111,3564
334,就業者数【人】,1990000000,1990年,2060,147れんが・かわら・土管製造工,,16098,12073,4025
334,就業者数【人】,1990000000,1990年,2070,148陶磁器工,,55449,34229,21220
334,就業者数【人】,1990000000,1990年,2080,149窯業絵付工,,18571,4392,14179
334,就業者数【人】,1990000000,1990年,2090,150セメント製造工,,6000,5774,226
334,就業者数【人】,1990000000,1990年,2100,151セメント製品製造工,,64083,53451,10632
334,就業者数【人】,1990000000,1990年,2110,152石工,,57305,50372,6933
334,就業者数【人】,1990000000,1990年,2120,153その他の窯業・土石製品製造作業者,,121174,83831,37343
334,就業者数【人】,1990000000,1990年,2130,(39)金属材料製造作業者,,289198,267372,21826
334,就業者数【人】,1990000000,1990年,2140,154製銑工，製鋼工,,46684,45864,820
334,就業者数【人】,1990000000,1990年,2150,155非鉄金属製錬工,,17894,17249,645
334,就業者数【人】,1990000000,1990年,2160,156鋳物工,,57965,52453,5512
334,就業者数【人】,1990000000,1990年,2170,157鍛造工,,18426,17465,961
334,就業者数【人】,1990000000,1990年,2180,158金属熱処理工,,21341,20279,1062
334,就業者数【人】,1990000000,1990年,2190,159圧延工,,43400,42267,1133
334,就業者数【人】,1990000000,1990年,2200,160伸線工,,7996,7361,635
334,就業者数【人】,1990000000,1990年,2210,161その他の金属材料製造作業者,,75492,64434,11058
334,就業者数【人】,1990000000,1990年,2220,(40)化学製品製造作業者,,285493,228215,57278
334,就業者数【人】,1990000000,1990年,2230,162化学工,,148157,133849,14308
334,就業者数【人】,1990000000,1990年,2240,163油脂加工工,,5730,4690,1040
334,就業者数【人】,1990000000,1990年,2250,164その他の化学製品製造作業者,,131606,89676,41930
334,就業者数【人】,1990000000,1990年,2260,Ｉ－３金属製品・機械製造作業者,,5441850,4069638,1372212
334,就業者数【人】,1990000000,1990年,2270,(41)金属加工作業者,,2026869,1674551,352318
334,就業者数【人】,1990000000,1990年,2280,165金属工作機械工,,341100,297574,43526
334,就業者数【人】,1990000000,1990年,2290,166金属プレス工,,176322,136648,39674
334,就業者数【人】,1990000000,1990年,2300,167金属溶接・溶断工,,316808,294917,21891
334,就業者数【人】,1990000000,1990年,2310,168鉄工，びょう打工，製缶工,,111038,109544,1494
334,就業者数【人】,1990000000,1990年,2320,169板金工,,139612,129111,10501
334,就業者数【人】,1990000000,1990年,2330,170金属彫刻工,,7339,5415,1924
334,就業者数【人】,1990000000,1990年,2340,171めっき工,,48136,40799,7337
334,就業者数【人】,1990000000,1990年,2350,172その他の金属加工作業者,,886514,660543,225971
334,就業者数【人】,1990000000,1990年,2360,(42)一般機械器具組立・修理作業者,,932350,808859,123491
334,就業者数【人】,1990000000,1990年,2370,173一般機械器具組立工,,551463,435501,115962
334,就業者数【人】,1990000000,1990年,2380,174一般機械器具修理工,,380887,373358,7529
334,就業者数【人】,1990000000,1990年,2390,(43)電気機械器具組立・修理作業者,,1560439,779385,781054
334,就業者数【人】,1990000000,1990年,2400,175電気機械器具組立工,,885481,375234,510247
334,就業者数【人】,1990000000,1990年,2410,176電気機械器具修理工,,144649,139245,5404
334,就業者数【人】,1990000000,1990年,2420,177電球・真空管組立工,,27797,16410,11387
334,就業者数【人】,1990000000,1990年,2430,178被覆電線製造工,,27346,18016,9330
334,就業者数【人】,1990000000,1990年,2440,179半導体製品製造工,,98728,65879,32849
334,就業者数【人】,1990000000,1990年,2450,180その他の電気機械器具組立・修理作業者,,376438,164601,211837
334,就業者数【人】,1990000000,1990年,2460,(44)輸送機械組立・修理作業者,,725603,701091,24512
334,就業者数【人】,1990000000,1990年,2470,181自動車組立工,,119231,113271,5960
334,就業者数【人】,1990000000,1990年,2480,182自動車整備工,,436529,429557,6972
334,就業者数【人】,1990000000,1990年,2490,183航空機組立工・整備工,,21513,21018,495
334,就業者数【人】,1990000000,1990年,2500,184鉄道車両組立工・修理工,,28227,27928,299
334,就業者数【人】,1990000000,1990年,2510,185自転車組立工・修理工,,30499,26036,4463
334,就業者数【人】,1990000000,1990年,2520,186船舶ぎ装工(他に分類されないもの),,16636,16404,232
334,就業者数【人】,1990000000,1990年,2530,187その他の輸送機械組立・修理作業者,,72968,66877,6091
334,就業者数【人】,1990000000,1990年,2540,(45)時計・計器・光学機械器具組立・修理作業者,,196589,105752,90837
334,就業者数【人】,1990000000,1990年,2550,188時計組立工・修理工,,12260,7448,4812
334,就業者数【人】,1990000000,1990年,2560,189レンズ研磨工・調整工,,20387,12233,8154
334,就業者数【人】,1990000000,1990年,2570,190光学機械器具組立工・修理工,,42346,17595,24751
334,就業者数【人】,1990000000,1990年,2580,191計器組立工・調整工,,58528,36037,22491
334,就業者数【人】,1990000000,1990年,2590,192その他の時計・計器・光学機械器具組立・修理作業者,,63068,32439,30629
334,就業者数【人】,1990000000,1990年,2600,Ｉ－４その他の製品製造作業者,,5838129,2853675,2984454
334,就業者数【人】,1990000000,1990年,2610,(46)食料品製造作業者,,975387,433071,542316
334,就業者数【人】,1990000000,1990年,2620,193精穀工，製粉工,,19904,15396,4508
334,就業者数【人】,1990000000,1990年,2630,194製糖工,,2853,2306,547
334,就業者数【人】,1990000000,1990年,2640,195みそ・しょう油製造工,,12913,8749,4164
334,就業者数【人】,1990000000,1990年,2650,196動植物油脂製造工,,4047,3574,473
334,就業者数【人】,1990000000,1990年,2660,197めん類製造工,,42078,19051,23027
334,就業者数【人】,1990000000,1990年,2670,198パン・菓子製造工,,266503,150271,116232
334,就業者数【人】,1990000000,1990年,2680,199豆腐・こんにゃく・ふ製造工,,57596,28065,29531
334,就業者数【人】,1990000000,1990年,2690,200缶詰・瓶詰食品製造工,,16215,3828,12387
334,就業者数【人】,1990000000,1990年,2700,201乳・乳製品製造工,,16541,12806,3735
334,就業者数【人】,1990000000,1990年,2710,202水産物加工工,,145378,46530,98848
334,就業者数【人】,1990000000,1990年,2720,203その他の食料品製造作業者,,391359,142495,248864
334,就業者数【人】,1990000000,1990年,2730,(47)飲料・たばこ製造作業者,,52129,34234,17895
334,就業者数【人】,1990000000,1990年,2740,204製茶工,,6507,4495,2012
334,就業者数【人】,1990000000,1990年,2750,205酒類製造工,,14864,11842,3022
334,就業者数【人】,1990000000,1990年,2760,206清涼飲料製造工,,9345,7118,2227
334,就業者数【人】,1990000000,1990年,2770,207たばこ製造工,,5100,2658,2442
334,就業者数【人】,1990000000,1990年,2780,208その他の飲料・たばこ製造作業者,,16313,8121,8192
334,就業者数【人】,1990000000,1990年,2790,(48)製糸・紡織作業者,,429793,184902,244891
334,就業者数【人】,1990000000,1990年,2800,209繰糸工,,3318,669,2649
334,就業者数【人】,1990000000,1990年,2810,210粗紡工，精紡工,,31796,9992,21804
334,就業者数【人】,1990000000,1990年,2820,211合糸工，ねん糸工，加工糸工,,26281,10896,15385
334,就業者数【人】,1990000000,1990年,2830,212揚返工，かせ取工,,2738,501,2237
334,就業者数【人】,1990000000,1990年,2840,213織機準備工,,13691,5387,8304
334,就業者数【人】,1990000000,1990年,2850,214織布工,,108445,39161,69284
334,就業者数【人】,1990000000,1990年,2860,215漂白工，精練工,,11012,7847,3165
334,就業者数【人】,1990000000,1990年,2870,216染色工,,66619,46450,20169
334,就業者数【人】,1990000000,1990年,2880,217編物工，編立工,,45522,19518,26004
334,就業者数【人】,1990000000,1990年,2890,218製鋼工，製網工(繊維製),,15553,5833,9720
334,就業者数【人】,1990000000,1990年,2900,219その他の製糸・紡織作業者,,104818,38648,66170
334,就業者数【人】,1990000000,1990年,2910,(49)衣服・繊維製品製造作業者,,1093547,187897,905650
334,就業者数【人】,1990000000,1990年,2920,220婦人・子供服仕立工,,44233,6200,38033
334,就業者数【人】,1990000000,1990年,2930,221男子服仕立工,,31602,21511,10091
334,就業者数【人】,1990000000,1990年,2940,222和服仕立工,,47372,2783,44589
334,就業者数【人】,1990000000,1990年,2950,223刺しゅう工,,22796,6422,16374
334,就業者数【人】,1990000000,1990年,2960,224ミシン縫製工,,670758,73291,597467
334,就業者数【人】,1990000000,1990年,2970,225裁断工,,60833,31291,29542
334,就業者数【人】,1990000000,1990年,2980,226その他の衣服・繊維製品製造作業者,,215953,46399,169554
334,就業者数【人】,1990000000,1990年,2990,(50)木・竹・草・つる製品製造作業者,,465612,349170,116442
334,就業者数【人】,1990000000,1990年,3000,227製材工,,81093,67358,13735
334,就業者数【人】,1990000000,1990年,3010,228チップ製造工,,3398,2524,874
334,就業者数【人】,1990000000,1990年,3020,229合板工,,35372,24291,11081
334,就業者数【人】,1990000000,1990年,3030,230木工,,48935,37078,11857
334,就業者数【人】,1990000000,1990年,3040,231木製家具・建具製造工,,200665,157781,42884
334,就業者数【人】,1990000000,1990年,3050,232船大工,,4753,4753,-
334,就業者数【人】,1990000000,1990年,3060,233竹細工工,,8638,4999,3639
334,就業者数【人】,1990000000,1990年,3070,234草・つる製品製造工,,16865,9122,7743
334,就業者数【人】,1990000000,1990年,3080,235その他の木・竹・草・つる製品製造作業者,,65893,41264,24629
334,就業者数【人】,1990000000,1990年,3090,(51)パルプ・紙・紙製品製造作業者,,206442,127007,79435
334,就業者数【人】,1990000000,1990年,3100,236パルプ工，紙料工,,13493,12594,899
334,就業者数【人】,1990000000,1990年,3110,237紙すき工,,26500,22125,4375
334,就業者数【人】,1990000000,1990年,3120,238紙器製造工,,64548,31585,32963
334,就業者数【人】,1990000000,1990年,3130,239紙製品製造工,,18300,7082,11218
334,就業者数【人】,1990000000,1990年,3140,240その他のパルプ・紙・紙製品製造作業者,,83601,53621,29980
334,就業者数【人】,1990000000,1990年,3150,(52)印刷・製本作業者,,425597,298987,126610
334,就業者数【人】,1990000000,1990年,3160,241文選工，文字組版作業者,,45742,25521,20221
334,就業者数【人】,1990000000,1990年,3170,242製版工,,44610,35127,9483
334,就業者数【人】,1990000000,1990年,3180,243印刷工,,217808,177243,40565
334,就業者数【人】,1990000000,1990年,3190,244製本工,,48399,24092,24307
