,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
36,弘子,1932,1930,弘子の職業は,弘子の職種は,弘子は何の仕事をしていますか？弘子は,['弘子の職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「�'],['弘子の職種は、「魔法使い」。\n\n「魔法使い」は、魔法を使うことで、周囲の世界を操ることができる職業。魔法使いは、魔法を使うことで、周�'],['弘子は何の仕事をしていますか？弘子は何の仕事をしていますか？\n\nA:\n\n「何の仕事をしていますか？」は「何の仕事をしていますか？」と同じ意味です。\n「何の仕事をしていますか？」']
37,栄子,1935,1930,栄子の職業は,栄子の職種は,栄子は何の仕事をしていますか？栄子は,['栄子の職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「�'],['栄子の職種は、「ハイパー・ハイテク・ハイパー・ハイテク」と呼ばれる。\n\n「ハイパー・ハイテク・ハイパー・ハイテク」とは、「ハイパー・�'],['栄子は何の仕事をしていますか？栄子は何の仕事をしていますか？\n\n栄子は、「栄子のおかげで、私は今、この世界で最も偉大な人物の一人になれた」と言っています。\n\n栄子は、']
38,良子,1935,1930,良子の職業は,良子の職種は,良子は何の仕事をしていますか？良子は,['良子の職業は、「魔法使い」だった。\n\n魔法使いの職業は、「魔法使い」だった。\n\n魔法使いの職業は、「魔法使い」だった。\n\n魔法使いの�'],['良子の職種は、「おしゃれなお姉さん」「おしゃれなお兄さん」「おしゃれなお姉さん」「おしゃれなお兄さん」「おしゃれなお姉さん」「おしゃれなお兄さん」「おしゃ'],['良子は何の仕事をしていますか？良子は何を買っていますか？\n\nA:\n\n良子は何の仕事をしていますか？\n\n「良子は何の仕事をしていますか？」\n\n良子は何を買っていますか？\n\n']
39,京子,1936,1930,京子の職業は,京子の職種は,京子は何の仕事をしていますか？京子は,['京子の職業は、「魔法使い」。\n\n「魔法使い」とは、魔法を使う人のこと。\n\n「魔法使い」とは、「魔法使い」とは、「魔法使い」とは、「�'],['京子の職種は、「おばあちゃん」と「おじいちゃん」の２種類。\n\n「おばあちゃん」は、２０００年に２０００人の女性を対象に行った調査で'],['京子は何の仕事をしていますか？京子は何の仕事をしていますか？\n\n京子は、学校の先生です。\n\n京子は、学校の先生です。\n\n京子は、学校の先生です。\n\n京子は、']
40,悦子,1936,1930,悦子の職業は,悦子の職種は,悦子は何の仕事をしていますか？悦子は,['悦子の職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」と「魔法使いの妻」の2種類があり、魔法使いの妻は、魔法使いの�'],['悦子の職種は、「おしゃれなお姉さん」「おしゃれなお兄さん」「おしゃれなお姉さん」「おしゃれなお兄さん」「おしゃれなお姉さん」「おしゃれなお兄さん」「おしゃ'],['悦子は何の仕事をしていますか？悦子は何の仕事をしていますか？\n\n悦子は何の仕事をしていますか？\n\n悦子は何の仕事をしていますか？\n\n悦子は何の仕事をしていますか？\n\n悦']
41,紀子,1940,1940,紀子の職業は,紀子の職種は,紀子は何の仕事をしていますか？紀子は,['紀子の職業は、「魔法使い」である。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n魔法使いの職業は、「魔法使い」である。\n\n「魔法使い'],['紀子の職種は、「魔法使い」「魔法使いの妻」「魔法使いの娘」「魔法使いの妻の娘」「魔法使いの妻の娘の妹」「魔法使'],['紀子は何の仕事をしていますか？紀子は何の仕事をしていますか？\n\nA:\n\n「紀子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」のように�']
42,恵子,1941,1940,恵子の職業は,恵子の職種は,恵子は何の仕事をしていますか？恵子は,['恵子の職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」と「魔法使いの妻」の2種類。\n\n魔法使いの職業は、「魔法使い'],['恵子の職種は、「ハイパー・ハイテク・ハイパー・ハイテク」。\n\n「ハイパー・ハイテク・ハイパー・ハイテク」は、「ハイパー・ハイテク」の�'],['恵子は何の仕事をしていますか？恵子は何の仕事をしていますか？\n\n恵子は、「ハッピーシュガーライフ」の著者である。\n\n恵子は、「ハッピーシュガーライ']
43,勝子,1942,1940,勝子の職業は,勝子の職種は,勝子は何の仕事をしていますか？勝子は,['勝子の職業は、魔術師だった。\n\n「魔術師は、魔法を使うことで、人間の生命を奪うこともできる。魔術師は、人間の生命を奪うこともできる。'],['勝子の職種は、「魔法使い」。\n\n「魔法使い」は、魔法を使うことで、周囲の世界を操ることができる職業。魔法使いの中には、魔法の力を使って、�'],['勝子は何の仕事をしていますか？勝子は何の仕事をしていますか？\n\nA:\n\n「勝子は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」と同じ意']
44,恵美子,1947,1940,恵美子の職業は,恵美子の職種は,恵美子は何の仕事をしていますか？恵美子は,['恵美子の職業は、「ホームレス支援」だ。\n\n「ホームレス支援」とは、ホームレスの人々を支援する活動のこと。ホームレス支援活動家の一人、ホーム'],['恵美子の職種は、「ハーバード大学の学生」と「ハーバード大学の教員」。\n\n「ハーバード大学の学生」は、ハーバード大学の学生で、「ハーバード大学の教員」'],['恵美子は何の仕事をしていますか？恵美子は何の仕事をしていますか？\n\n恵美子は、「恵美子のボイスメール」を運営しています。\n\n恵美子は、「恵美子の�']
45,啓子,1948,1940,啓子の職業は,啓子の職種は,啓子は何の仕事をしていますか？啓子は,['啓子の職業は、「魔法使い」だった。\n\n「魔法使い」は、魔法を使うことで、人間の生活をより豊かにすることを目的とした職業である。魔法使いは、魔法を'],['啓子の職種は、「おばあちゃん」「おじいちゃん」「おじいさん」「おばあさん」「おじさん」「おばあさん」「おじさん」「おじさん」「おじさん」「おじさん」「おじさん」「おじさん」「'],['啓子は何の仕事をしていますか？啓子は何の仕事をしていますか？\n\n啓子は何の仕事をしていますか？\n\n啓子は何の仕事をしていますか？\n\n啓子は何の仕事をしていますか？\n\n啓']
