,men_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
10,正二,1913,1910,正二の職業は,正二の職種は,正二は何の仕事をしていますか？正二は,['正二の職業は、次のとおりとする。\n一\n\n\u3000学校教育法\n（昭和二十二年法律第二十六号）による大学（短期大学を除く。）又は旧大学令（大正七年勅令'],['正二の職種は、一般職の職員の定員とする。\n\n２\n\n\u3000第一項の規定により定員を増加させる職員の数は、前項の規定による定員とする。\n\n\n\n（定�'],['正二は何の仕事をしていますか？正二は何の仕事をしていますか？正二は何の仕事をしていますか？正二は何の仕事をしていますか？正二は何の仕事をしていますか？正二は何の仕事をしていますか？正二']
11,義雄,1913,1910,義雄の職業は,義雄の職種は,義雄は何の仕事をしていますか？義雄は,['義雄の職業は、魔術師である。\n\n魔術師の職業は、魔術師の魔力を使って、呪文を唱えることで、呪文を唱えることができる。\n\n�'],['義雄の職種は、「魔法使い」。\n\n魔法使いの職業候補としては、「魔法使い」、「魔法使いの家」、「魔法使いの家の主」、「魔法使いの'],['義雄は何の仕事をしていますか？義雄は何の仕事をしていますか？\n\n義雄は、「ハイパーメディア」の編集長を務めています。\n\n義雄：\n\nハイパーメディアは、']
12,正男,1913,1910,正男の職業は,正男の職種は,正男は何の仕事をしていますか？正男は,['正男の職業は、鉄道の運転士だった。\n\n「彼は、私の父親の仕事を見て、鉄道の仕事をしたいと言ったんです。私は、彼が鉄道の仕事をするのを見'],['正男の職種は、「ハンドメイド」。\n\n「ハンドメイド」とは、「ハンドメイド」とは、「ハンドメイド」とは、「ハンドメイド」とは、「ハンドメイド」と'],['正男は何の仕事をしていますか？正男は何の仕事をしていますか？正男は何の仕事をしていますか？正男は何の仕事をしていますか？正男は何の仕事をしていますか？正男は何の仕事を']
13,正三,1914,1910,正三の職業は,正三の職種は,正三は何の仕事をしていますか？正三は,['正三の職業は、次のとおりとする。\n一\n\n\u3000学校教育法\n（昭和二十二年法律第二十六号）による大学（短期大学を除く。）又は旧大学令（大正七年勅令'],['正三の職種は、次のとおりとする。\n一\n\n\u3000国家公務員法\n（昭和二十二年法律第百二十号）第八十二条第一項\nに規定する職員（同法第八十三条第一�'],['正三は何の仕事をしていますか？正三は何の仕事をしていますか？正三は何の仕事をしていますか？正三は何の仕事をしていますか？正三は何の仕事をしていますか？正三は何の仕事をしていますか？正三']
14,勇,1914,1910,勇の職業は,勇の職種は,勇は何の仕事をしていますか？勇は,['勇の職業は、軍隊の役員、軍人、軍属、軍用機関、軍用品の製造、輸送、保管、使用、修理、整備、管理、運営、警備、軍事教�'],['勇の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹」「'],['勇は何の仕事をしていますか？勇は何の仕事をしていますか？\n\nA:\n\n「勇」は「勇気」の略語です。\n「勇気」は「勇」の連用形「勇気」です。\n「勇気」は']
15,実,1914,1910,実の職業は,実の職種は,実は何の仕事をしていますか？実は,['実の職業は、\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンド'],['実の職種は、\n\n「ハイパー・ワン・ワン」\n\n「ハイパー・ワン・ワン」\n\n「ハイパー・ワン・ワン」\n\n「ハイパー・ワン・ワン」\n\n「�'],['実は何の仕事をしていますか？実は、私は、\n私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私']
16,秀雄,1914,1910,秀雄の職業は,秀雄の職種は,秀雄は何の仕事をしていますか？秀雄は,['秀雄の職業は、「鉄道事業」である。\n\n鉄道事業とは、鉄道の運行を行う事業である。\n\n鉄道事業の主な事業内容は、鉄道の運行を行う事業である'],['秀雄の職種は、「ハイパー・ワールド・ワイド・ワイド・ワイド・ワイド・ワイド・ワイド・ワイド・ワイド・ワイド・ワイド・ワイド・ワ'],['秀雄は何の仕事をしていますか？秀雄は何の仕事をしていますか？\n\nA:\n\n「何の仕事をしていますか？」は「何の仕事をしていますか？」と同じ意味です。\n「何の仕事をしていますか']
17,辰雄,1916,1910,辰雄の職業は,辰雄の職種は,辰雄は何の仕事をしていますか？辰雄は,['辰雄の職業は、魔法使いである。\n\n魔法使いの職業は、魔法使いの魔力を使って、周囲の世界を操作する。\n\n魔法使いの魔力は、魔法'],['辰雄の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹'],['辰雄は何の仕事をしていますか？辰雄は何の仕事をしていますか？\n\n辰雄は、ハングルの歌手です。\n\n辰雄は、ハングルの歌手です。\n\n辰雄は、ハング']
18,辰男,1916,1910,辰男の職業は,辰男の職種は,辰男は何の仕事をしていますか？辰男は,['辰男の職業は、銀行員である。\n\n２\n\n\u3000銀行法第二条第一項\nの規定により銀行の業務を行う者は、銀行法第二十六条第一項\nの規定により'],['辰男の職種は、「魔法使い」。\n\n魔法使いの職種は、「魔法使い」と「魔法使いの妻」の2種類。魔法使いの妻は、魔法使いの'],['辰男は何の仕事をしていますか？辰男は何の仕事をしていますか？\n\n辰男は、辰男は、辰男は、辰男は、辰男は、辰男は、辰男は、辰男は、']
19,博,1917,1910,博の職業は,博の職種は,博は何の仕事をしていますか？博は,['博の職業は、「ボランティア」と「ボランティアの仕事」の二つに分類される。\n\n「ボランティア」とは、「自分の時間や体力を使って、他人のために何かをすること」を'],['博の職種は、「ハイパー・ワン・ゲーム」と呼ばれる、ゲームの開発に携わる職業。\n\n「ハイパー・ワン・ゲーム」とは、「ハイパー・ワン'],['博は何の仕事をしていますか？博は何の仕事をしていますか？\n\n博は何の仕事をしていますか？\n\n博は何の仕事をしていますか？\n\n博は何の仕事をしていますか？\n\n博は何の仕']
20,弘,1919,1910,弘の職業は,弘の職種は,弘は何の仕事をしていますか？弘は,['弘の職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「�'],['弘の職種は、「魔法使い」。\n\n魔法使いの職種は、「魔法使い」と「魔法使いの妹」の2種類。\n\n魔法使いの職種は、「魔法'],['弘は何の仕事をしていますか？弘は何の仕事をしていますか？\n\nA:\n\n「何の仕事をしていますか？」は「何の仕事をしていますか？」と同じ意味です。\n「何の仕事をしていますか？」は「']
21,進,1923,1920,進の職業は,進の職種は,進は何の仕事をしていますか？進は,['進の職業は、\n\n「学校教育職」と「学校教育職員」の2種類があります。\n\n学校教育職は、学校教育のために、学校に勤務する職業です。\n'],['進の職種は、\n\n・エンジニア\n\n・デザイナー\n\n・プログラマー\n\n・データサイエンティスト\n\n・コンサルタント\n\n・コンサルタント\n\n・コンサルタント\n\n・コン'],['進は何の仕事をしていますか？進は何の仕事をしていますか？\n\nA:\n\n「進」は「進路」の意味で、「進路」は「進路」の意味で、「進路」は「進路」の意味']
22,武,1924,1920,武の職業は,武の職種は,武は何の仕事をしていますか？武は,['武の職業は、魔法使いである。\n\n魔法使いの職業は、魔法使いの魔法を使うことで、魔法を使うことができる。魔法使いの魔法を使うことで、魔法'],['武の職種は、\n\n「武士」と呼ばれる。\n\n武士の職種は、\n\n「武士」と呼ばれる。\n\n武士の職種は、\n\n「武士」と呼ばれる。'],['武は何の仕事をしていますか？武は何の仕事をしていますか？\n\nA:\n\n「武{とく}は何{なに}の仕事{しごと}をしていますか？」\n\n「何の」は「何のもの」の連体形です。']
23,一男,1926,1920,一男の職業は,一男の職種は,一男は何の仕事をしていますか？一男は,['一男の職業は、鉄道員である。\n\n２\n\n\u3000前項の規定により読み替えて適用される法第十六条第一項\nの規定による届出をした者は、当該届出に係る'],['一男の職種は、「ハンドメイド」。\n\n「ハンドメイド」とは、「人間のように動く機械」を意味する。\n\n「人間のように動く機械」とは、「人間のように動くもの'],['一男は何の仕事をしていますか？一男は何の仕事をしていますか？\n\nA:\n\n一男は何の仕事をしていますか？\n\n一男は何の仕事をしていますか？\n\n一男は何の仕事をしていますか？']
24,昭二,1927,1920,昭二の職業は,昭二の職種は,昭二は何の仕事をしていますか？昭二は,['昭二の職業は、\n\n一\n\n\u3000学校教育法\n（昭和二十二年法律第二十六号）による小学校又は中学校の教諭、講師又は職員であつて、小学校�'],['昭二の職種は、\n\n一\n\n\u3000公務員の職務の執行に関する法令の規定による職務の遂行のために必要な知識経験を有する者\n\n二\n\n\u3000公務員の職'],['昭二は何の仕事をしていますか？昭二は何の仕事をしていますか？\n\nA:\n\n「昭二は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」の意味']
25,昭,1927,1920,昭の職業は,昭の職種は,昭は何の仕事をしていますか？昭は,['昭の職業は、「鉄道員」だった。\n\n「鉄道員は、鉄道の運行を管理する職業です。鉄道の運行を管理するためには、鉄道の運行を監督する職業が'],['昭の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹」「'],['昭は何の仕事をしていますか？昭は何の仕事をしていますか？\n\nA:\n\n「何の仕事をしていますか？」は「何の仕事をしていますか？」と同じ意味です。\n「何の仕事をしていますか？」は「']
26,和夫,1927,1920,和夫の職業は,和夫の職種は,和夫は何の仕事をしていますか？和夫は,['和夫の職業は、\n\n「銀行員」と「銀行員の妻」\n\nということになります。\n\nこのように、「夫の職業」は、「妻の職業」と「夫の職業」の両方を含�'],['和夫の職種は、\n\n「ハイパー・ワン・ワン」\n\nというものでした。\n\n「ハイパー・ワン・ワン」とは、\n\n「ハイパー・ワン」\n\n「ワン・ワン」\n\n'],['和夫は何の仕事をしていますか？和夫は何の仕事をしていますか？\n\nA:\n\n「和夫は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」のように�']
27,昭一,1927,1920,昭一の職業は,昭一の職種は,昭一は何の仕事をしていますか？昭一は,['昭一の職業は、「鉄道員」である。\n\n「鉄道員」とは、鉄道の運行を管理する職業である。\n\n「鉄道員」とは、「鉄道の運行を管理する職業'],['昭一の職種は、「魔法使い」。\n\n魔法使いは、魔法の力を使って、戦いを仕掛ける。\n\n魔法使いの職種は、「魔法使い」と「魔法使'],['昭一は何の仕事をしていますか？昭一は何の仕事をしていますか？\n\n昭一は何の仕事をしていますか？ 昭一は何の仕事をしていますか？ 昭一は何の仕事をしていますか？ 昭一は何']
28,昭三,1928,1920,昭三の職業は,昭三の職種は,昭三は何の仕事をしていますか？昭三は,['昭三の職業は、\n\n一\n\n\u3000学校教育法\n（昭和二十二年法律第二十六号）による小学校又は中学校の教諭、講師又は職員であつて、小学校�'],['昭三の職種は、\n\n・魔法使い\n\n・魔法使いの仲間\n\n・魔法使いの仲間の魔術師\n\n・魔法使いの仲間の魔術師の仲間\n\n'],['昭三は何の仕事をしていますか？昭三は何の仕事をしていますか？\n\nA:\n\n「昭三は何の仕事をしていますか？」\n\n「何の仕事をしていますか？」は、「何の仕事をしているか」の意味']
29,幸雄,1930,1930,幸雄の職業は,幸雄の職種は,幸雄は何の仕事をしていますか？幸雄は,['幸雄の職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使うことを指す。\n\n「魔法使い」とは、魔法を使うことを指す。\n\n「魔法使い」と'],['幸雄の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹'],['幸雄は何の仕事をしていますか？幸雄は何の仕事をしていますか？\n\n幸雄 私は、東京大学の学生です。\n\n幸雄 私は、東京大学の学生です。 藤田 �']
30,稔,1931,1930,稔の職業は,稔の職種は,稔は何の仕事をしていますか？稔は,['稔の職業は、「鉄道関係」となっています。\n\n鉄道関係の職業は、「鉄道関係」となっています。 鉄道関係の職業は、「鉄道関係」となっています。 '],['稔の職種は、「ハイパー・ワン・ソフト」と呼ばれる。\n\n「ハイパー・ワン・ソフト」とは、「ハイパー・ワン」と「ソフト」の両方を持つ職'],['稔は何の仕事をしていますか？稔は何の仕事をしていますか？\n\n稔は、ハンバーガーを作っています。\n\n稔は、ハンバーガーを作っています。\n\n稔は、ハンバーガーを作']
31,明,1933,1930,明の職業は,明の職種は,明は何の仕事をしていますか？明は,['明の職業は、「鉄道員」となります。\n\n鉄道員の職業値は、「鉄道員」となります。\n\n鉄道員の職業値は、「鉄道員」となります。\n\n'],['明の職種は、「アルバイト」「パート」「契約社員」「専門職」の4つ。\n\n「アルバイト」は、「パート」と同様に、「専門職」に比べて、「契約社'],['明は何の仕事をしていますか？明は、「ハッカー」と呼ばれる人々のことを指します。彼らは、インターネット上のあらゆるものを乗っ取り、改変することができます。\n\n「ハッカー」は、']
32,昇,1934,1930,昇の職業は,昇の職種は,昇は何の仕事をしていますか？昇は,['昇の職業は、「教員」で、「教育関係」が最も多く、次いで「保育士」、「看護師」、「医師」、「看護師」、「医師」、「看護師」、「�'],['昇の職種は、「コンサルタント」「アナリスト」「コンサルタント会社役員」「コンサルタント会社役員」「コンサルタント会社役員」「コンサルタント会社役員」「'],['昇は何の仕事をしていますか？昇は何の仕事をしていますか？\n\n昇は何の仕事をしていますか？\n\n昇は何の仕事をしていますか？\n\n昇は何の仕事をしていますか？\n\n昇は何の仕']
33,隆,1935,1930,隆の職業は,隆の職種は,隆は何の仕事をしていますか？隆は,['隆の職業は、「鉄道員」だった。\n\n「鉄道員は、鉄道の運行を管理する職業です。鉄道の運行を管理する職業は、鉄道の運行を管理する職業と'],['隆の職種は、\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n\n「魔法使い」\n'],['隆は何の仕事をしていますか？隆は何の仕事をしていますか？\n\nA:\n\n「隆」は「隆行」の略語です。\n「隆行」は「隆行」の略語です。\n「隆行」は「隆行」']
34,勉,1936,1930,勉の職業は,勉の職種は,勉は何の仕事をしていますか？勉は,['勉の職業は、学校教育法\n（昭和二十二年法律第二十六号）第九十九条の二十二第一項\nに規定する職業とする。\n\n\n\n（職業訓練法\nの特例）\n第二'],['勉の職種は、「ハイパー・ワン・ソフト」と呼ばれる。\n\n「ハイパー・ワン・ソフト」とは、「ハイパー・ワン」と「ソフト」の両方を持つ職'],['勉は何の仕事をしていますか？勉は何の仕事をしていますか？\n\nA:\n\n「勉{つく}は何{なん}の仕事{しごと}をしていますか？」\n\n「何の」は「何の」の連体形「何」']
35,勝,1937,1930,勝の職業は,勝の職種は,勝は何の仕事をしていますか？勝は,['勝の職業は、「銃」と「警察」だった。\n\n「銃」は、「銃器」と「銃弾」の両方を指す。「銃弾」は、銃を使った殺人や殺人未遂'],['勝の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹」「'],['勝は何の仕事をしていますか？勝は何を食べますか？勝は何を飲みますか？勝は何を買いますか？勝は何を買いますか？勝は何を買いますか？勝は何を買いますか？�']
36,勲,1938,1930,勲の職業は,勲の職種は,勲は何の仕事をしていますか？勲は,['勲の職業は、「魔術師」。\n\n「魔術師」の職業値は、「魔術」と「魔術師」の合計値となる。\n\n「魔術師」の職業�'],['勲の職種は、次のとおりとする。\n一\n\n\u3000公務員の職務の執行に関する総合調整に関する事務のうち、公務員の職務の執行に関する総合調整に'],"['勲は何の仕事をしていますか？勲は何の仕事をしていますか？\n\nA:\n\n「勲{かい}」 is a noun, and 「仕事{しごと}」 is a noun.\n「勲{かい}」 is a noun, and 「仕事{']"
37,功,1938,1930,功の職業は,功の職種は,功は何の仕事をしていますか？功は,['功の職業は、\n\n一\n\n\u3000建設業\n\n二\n\n\u3000建設工事の施工の事業\n\n三\n\n\u3000建設工事の施工に従事する者のうち、建設業法\n（昭和二十四年法律第百号'],['功の職種は、「ハイパー・ワン・ワン」と「ハイパー・ワン・ワン・ワン」。\n\n「ハイパー・ワン・ワン」は、「ハイパー・ワン」のように、1'],['功は何の仕事をしていますか？功は何の仕事をしていますか？\n\nA:\n\n功は何の仕事をしていますか？\n\n功を成すのは、仕事をすることです。\n\n功は何の仕事をしていますか？\n\n']
38,勝利,1943,1940,勝利の職業は,勝利の職種は,勝利は何の仕事をしていますか？勝利は,['勝利の職業は、「武士」と「騎士」だ。\n\n「武士」は、武器を持つ人間で、「騎士」は、武器を持たない人間である。\n\n「武士」は、武器を'],['勝利の職種は、「魔法使い」「魔法使いの妻」「魔法使いの妻の妹」「魔法使いの妻の妹の妹」「魔法使いの妻の妹の妹の妹」'],['勝利は何の仕事をしていますか？勝利は何の仕事をしていますか？\n\n「勝利は何の仕事をしていますか？」という質問は、「勝利」という言葉を使ったことで、「勝利」という言葉を使']
39,修,1945,1940,修の職業は,修の職種は,修は何の仕事をしていますか？修は,['修の職業は、学校教育法\n（昭和二十二年法律第二十六号）第九十九条の十九第一項\nに規定する職業及び同法第百三十一条の六第一項\nに規'],['修の職種は、次のとおりとする。\n一\n\n\u3000建築士\n\n二\n\n\u3000建築士法\n（昭和二十五年法律第二百一号）第二条第一項\nに規定する建築士であ'],['修は何の仕事をしていますか？修は何の仕事をしていますか？\n\nA:\n\n修行とは、修行をすること。\n\n修行をすること。\n\n修行をすること。\n\n修行をすること。\n\n修行をすること']
40,豊,1946,1940,豊の職業は,豊の職種は,豊は何の仕事をしていますか？豊は,['豊の職業は、\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハンドメイド」\n\n「ハン�'],['豊の職種は、「ハイパーインフレ」の影響で、人手不足が深刻化している。\n\n＜「ハイパーインフレ」の影響＞\n\n２０１５年の経済成長率は'],['豊は何の仕事をしていますか？豊は何の仕事をしていますか？\n\nA:\n\n「何の仕事をしていますか？」は「何の仕事をしていますか？」と同じ意味です。\n「何の仕事をしていますか？」は「']
41,誠,1949,1940,誠の職業は,誠の職種は,誠は何の仕事をしていますか？誠は,['誠の職業は、「魔法使い」だ。\n\n「魔法使い」は、魔法を使うことで、人々を魔法の世界に連れて行く。魔法使いは、魔法の力を使って、人々'],['誠の職種は、「ハイパー・ワン・ゲーム」と呼ばれる、ゲームの開発に携わる職業の中でも特に高い専門性を要求される職業である。\n\nハイパー・�'],['誠は何の仕事をしていますか？誠は何の仕事をしていますか？誠は何の仕事をしていますか？誠は何の仕事をしていますか？誠は何の仕事をしていますか？誠は何の仕事をしていますか？誠']
42,浩,1957,1950,浩の職業は,浩の職種は,浩は何の仕事をしていますか？浩は,['浩の職業は、「鉄道員」だった。\n\n「鉄道員は、人間の生き方を見るのに最もよく使われる職業です。鉄道は、人間の生き方を見るのに最もよく使われる場'],['浩の職種は、「ハイパー・ワン・ワン」と呼ばれる。\n\n「ハイパー・ワン・ワン」とは、「ハイパー・ワン」と「ワン・ワン」の合計で、「�'],['浩は何の仕事をしていますか？浩は何の仕事をしていますか？\n\n浩 私は、今、東京大学の教授をしています。\n\n小川 東京大学の教授ですか？\n\n浩 はい。\n\n小']
43,徹,1958,1950,徹の職業は,徹の職種は,徹は何の仕事をしていますか？徹は,['徹の職業は、\n\n一\n\n\u3000学校教育法\n（昭和二十二年法律第二十六号）第二条第一項\nに規定する大学若しくは高等専門学校又は旧大学令（大正'],['徹の職種は、\n\n一\n\n\u3000公務員の職務の執行に関する事務のうち、次に掲げるものイ\u3000公共の福祉に関する事務\nロ\u3000公共の福祉に関する事務に関'],"['徹は何の仕事をしていますか？徹は何の仕事をしていますか？\n\nA:\n\n徹 is a 形容動詞, and 徹 is a 形容動詞.\n形容動詞 is a 形容動詞.\n形容動']"
44,浩一,1960,1960,浩一の職業は,浩一の職種は,浩一は何の仕事をしていますか？浩一は,['浩一の職業は、「鉄道員」だった。\n\n「鉄道員は、人間の生き方を変えた。鉄道は、人間の生き方を変えた」\n\n鉄道は、人間の生き方を変えた。\n\n'],['浩一の職種は、「ハイパー・ワン・ワン」と呼ばれる。\n\n「ハイパー・ワン・ワン」とは、「ハイパー・ワン」と「ワン・ワン」の合計で、「'],['浩一は何の仕事をしていますか？浩一は何の仕事をしていますか？浩一は何の仕事をしていますか？浩一は何の仕事をしていますか？浩一は何の仕事をしていますか？浩一は何の仕事を']
45,浩二,1960,1960,浩二の職業は,浩二の職種は,浩二は何の仕事をしていますか？浩二は,['浩二の職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」'],['浩二の職種は、「魔法使い」と「魔法使いの妻」。\n\n「魔法使い」は、魔法を使うことで、周囲の人々を魔法の力で鎮めることができる。「�'],['浩二は何の仕事をしていますか？浩二は何の仕事をしていますか？\n\n浩二：私は、今、東京の大学に在学中です。\n\n浩二：私は、今、東京の大学に在学中です。\n\n浩']
46,浩之,1960,1960,浩之の職業は,浩之の職種は,浩之は何の仕事をしていますか？浩之は,['浩之の職業は、魔法使いである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」とは、魔法を使う人のことである。\n\n「魔法使い」'],['浩之の職種は、「魔法使い」と「魔法使いの妻」の2種類。\n\n「魔法使い」は、魔法を使うことで、敵を倒し、味方を強化する。「魔法'],['浩之は何の仕事をしていますか？浩之は何の仕事をしていますか？浩之は何の仕事をしていますか？浩之は何の仕事をしていますか？浩之は何の仕事をしていますか？浩之は何の仕事を']
47,聡,1960,1960,聡の職業は,聡の職種は,聡は何の仕事をしていますか？聡は,['聡の職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「魔法使い」。\n\n魔法使いの職業は、「�'],['聡の職種は、\n\n1. 聖職者\n\n2. 聖徒\n\n3. 聖徒の妻\n\n4. 聖徒の妻の妹\n\n5. 聖徒の妻の妹の妹\n\n6. 聖'],['聡は何の仕事をしていますか？聡は何の仕事をしていますか？聡は何の仕事をしていますか？聡は何の仕事をしていますか？聡は何の仕事をしていますか？聡は何の仕事をしていますか？聡']
