,wom_names,name_year,name_decade,job_is,job_type,job?,job_is_GEN,job_type_GEN,job?_GEN
11,マサ,1913,1910,マサの職業は,マサの職種は,マサは何の仕事をしていますか？マサは,['マサの職業は、お金持ちの家事手伝い。\nマサは、お金持ちの家事手伝い。\nマサは、お金持ちの家事手伝い。\nマサは、お金持ちの家事手伝い。\nマサは、お金持ちの家事手伝い。\nマサは'],['マサの職種は、お客様のご要望に合わせた商品をご提案させていただきます。 【仕事内容】 ・お客様のご要望に合わせた商品をご提案 ・商品のご提案 ・お客様のご要望に合わせた商品のご提案 ・商品のご提案 ・'],['マサは何の仕事をしていますか？マサは何の仕事をしていますか？マサは何の仕事をしていますか？マサは何の仕事をしていますか？マサは何の仕事をしていますか？マサは何の仕事をしていますか？マサは何の仕事をして']
12,きみ,1913,1910,きみの職業は,きみの職種は,きみは何の仕事をしていますか？きみは,['きみの職業は、お金がかかる。\nお金を借りる 即日 ブラック 即日融資 ブラックでも借りれる、お金を借りる 即日 ブラック 即日融資 ブラックでも借りれるは、お金を借りる 即日 ブラック 即日融資 ブラックでも借りれるはお'],['きみの職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['きみは何の仕事をしていますか？きみは何をしていますか？きみは何をしていますか？きみは何をしていますか？きみは何をしていますか？きみは何をしていますか？きみは何をしていますか？きみは何をしています']
13,きよ,1914,1910,きよの職業は,きよの職種は,きよは何の仕事をしていますか？きよは,['きよの職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」'],['きよの職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただき'],['きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をしていますか？きよは何の仕事をして']
14,キミ,1914,1910,キミの職業は,キミの職種は,キミは何の仕事をしていますか？キミは,['キミの職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「'],['キミの職種は、お客様のご要望に合わせた、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客様のご希望に合った、お客'],['キミは何の仕事をしていますか？キミは何をしていますか？ キミは何をしていますか？ キミは何をしていますか？ キミは何をしていますか？ キミは何をしていますか？ キミは何をしていますか？ キミ']
15,トミ,1914,1910,トミの職業は,トミの職種は,トミは何の仕事をしていますか？トミは,['トミの職業は、お金持ちの方です。 お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ち'],['トミの職種は、お客様のご要望に合わせて、お客様のご希望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様の'],['トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をしていますか？トミは何の仕事をして']
16,光子,1914,1910,光子の職業は,光子の職種は,光子は何の仕事をしていますか？光子は,['光子の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['光子の職種は、その光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に含まれる電子を、光子に'],['光子は何の仕事をしていますか？光子は、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、光学機器の製造、']
17,清子,1915,1910,清子の職業は,清子の職種は,清子は何の仕事をしていますか？清子は,['清子の職業は、お金持ちの父と、お金持ちの母。 お金持ちの父とお金持ちの母は、お金持ちの父とお金持ちの母の間で、お金持ちの父とお金持ちの母の間で、お金持ちの父とお金持ちの母の間で、お金持ちの父と'],['清子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ●お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['清子は何の仕事をしていますか？清子は、何の仕事をしていますか？ 清子は、何の仕事をしていますか？ 清子は、何の仕事をしていますか？ 清子は、何の仕事をしていますか？ 清子は、何の仕事をしていますか？ 清子は、何']
18,八重子,1916,1910,八重子の職業は,八重子の職種は,八重子は何の仕事をしていますか？八重子は,['八重子の職業は、その職業の「神」の職業である。\n「神」の職業は、その職業の「神」の職業である。\n「神」の職業は、その職業の「神」の職業である。\n「神」の職業は、その職業の「神」の職業である。\n「神」の職業は、その職業'],['八重子の職種は、その職種に適した職種を選ぶこと。\n「職種」の意味は、職種を選ぶこと。\n「職種」の意味は、職種を選ぶこと。\n「職種」の意味は、職種を選ぶこと。\n「職種」の意味は、職種を'],['八重子は何の仕事をしていますか？八重子は、何をしていますか？ 八重子は、何をしていますか？ 八重子は、何をしていますか？ 八重子は、何をしていますか？ 八重子は、何をしていますか？ 八重子は、何をしてい']
19,貞子,1916,1910,貞子の職業は,貞子の職種は,貞子は何の仕事をしていますか？貞子は,['貞子の職業は、その人の人生を左右する重要な役割を担う。\n「私は、この映画を観て、この映画を観て、この映画を観て、この映画を観て、この映画を観て、この映画を観て、この映画を観て、この映画を観て、この映画を観て、この映画を観て'],['貞子の職種は、お金がかかるということはありません。\nお金を借りる 即日 審査なし 即日 審査なし 即日 審査なし 即日 審査なし 即日 審査なし 即日 審査なし 即日 審査なし 即日 審査なし 即日 審査なし 即日'],['貞子は何の仕事をしていますか？貞子は何の仕事をしていますか？ 貞子は何の仕事をしていますか？ 貞子は何の仕事をしていますか？ 貞子は何の仕事をしていますか？ 貞子は何の仕事をしていますか？ 貞子は何の仕事をしています']
20,愛子,1917,1910,愛子の職業は,愛子の職種は,愛子は何の仕事をしていますか？愛子は,['愛子の職業は、お金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家'],['愛子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ●お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['愛子は何の仕事をしていますか？愛子は、何をしていますか？ 愛子は、何をしていますか？ 愛子は、何をしていますか？ 愛子は、何をしていますか？ 愛子は、何をしていますか？ 愛子は、何をしていますか？ 愛子は、']
21,美代子,1917,1910,美代子の職業は,美代子の職種は,美代子は何の仕事をしていますか？美代子は,['美代子の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」'],['美代子の職種は、 ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ '],['美代子は何の仕事をしていますか？美代子は、何の仕事をしていますか？美代子は、何の仕事をしていますか？美代子は、何の仕事をしていますか？美代子は、何の仕事をしていますか？美代子は、何の仕事をしていますか？美代子は']
22,久子,1918,1910,久子の職業は,久子の職種は,久子は何の仕事をしていますか？久子は,['久子の職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お'],['久子の職種は、お客様のご要望に合わせたお仕事内容をご提案させていただきます。 【具体的には】 ◆お客様のご要望に合わせたお仕事内容をご提案 ◆お客様のご要望に合わせたお仕事内容をご提案 ◆お客様の'],['久子は何の仕事をしていますか？久子は、何の仕事をしていますか？ 久子は、何の仕事をしていますか？ 久子は、何の仕事をしていますか？ 久子は、何の仕事をしていますか？ 久子は、何の仕事をしていますか？ 久子は、何']
23,和子,1919,1910,和子の職業は,和子の職種は,和子は何の仕事をしていますか？和子は,['和子の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['和子の職種は、お客様のご要望に合わせて、お客様のご希望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご要望に合わせて、お客様のご'],['和子は何の仕事をしていますか？和子は、何の仕事をしていますか？ 和子は、何の仕事をしていますか？ 和子は、何の仕事をしていますか？ 和子は、何の仕事をしていますか？ 和子は、何の仕事をしていますか？ 和子は、何']
24,芳子,1920,1920,芳子の職業は,芳子の職種は,芳子は何の仕事をしていますか？芳子は,['芳子の職業は、お金持ちの女性です。\nお金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの女性は、お金持ちの'],['芳子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['芳子は何の仕事をしていますか？芳子は、何をしていますか？ 芳子は、何をしていますか？ 芳子は、何をしていますか？ 芳子は、何をしていますか？ 芳子は、何をしていますか？ 芳子は、何をしていますか？ 芳子は、']
25,君子,1920,1920,君子の職業は,君子の職種は,君子は何の仕事をしていますか？君子は,['君子の職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お'],['君子の職種は、その職種に適した人材を確保する。\n２． 職種を選ぶときは、その職種に適した人材を確保する。\n３． 職種を選ぶときは、その職種に適した人材を確保する。\n４． 職種を選ぶときは'],['君子は何の仕事をしていますか？君子は何をしていますか？君子は何をしていますか？君子は何をしていますか？君子は何をしていますか？君子は何をしていますか？君子は何をしていますか？君子は何をしていますか？君子は何をしてい']
26,幸子,1921,1920,幸子の職業は,幸子の職種は,幸子は何の仕事をしていますか？幸子は,['幸子の職業は、お金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家事育児。\nお金持ちの家'],['幸子の職種は、お客様のご要望に合わせたお仕事内容をご提案させていただきます。 【具体的には】 ◆お客様のご要望に合わせたお仕事内容をご提案 ◆お客様のご要望に合わせたお仕事内容をご提案 ◆お客様の'],['幸子は何の仕事をしていますか？幸子は、何の仕事をしていますか？ 幸子は、何の仕事をしていますか？ 幸子は、何の仕事をしていますか？ 幸子は、何の仕事をしていますか？ 幸子は、何の仕事をしていますか？ 幸子は、何']
27,敏子,1921,1920,敏子の職業は,敏子の職種は,敏子は何の仕事をしていますか？敏子は,['敏子の職業は、\n「お金持ち」です。\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お金持ち」は、\n「お'],['敏子の職種は、その仕事の内容や仕事のやりがい、仕事の進め方、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやりがい、仕事のやり'],['敏子は何の仕事をしていますか？敏子は、何の仕事をしていますか？ 敏子は、何の仕事をしていますか？ 敏子は、何の仕事をしていますか？ 敏子は、何の仕事をしていますか？ 敏子は、何の仕事をしていますか？ 敏子は、何']
28,信子,1924,1920,信子の職業は,信子の職種は,信子は何の仕事をしていますか？信子は,['信子の職業は、その人の人生を左右する重要な役割を担う。\n「私は、この仕事に興味を持っています。\n私は、この仕事に興味を持っています。\n私は、この仕事に興味を持っています。\n私は、この仕事に興味を持っています。\n私は、この仕事に興味を持ってい'],['信子の職種は、その仕事の内容や仕事のやりがい、仕事の進め方、仕事のやりがい、仕事の進め方、仕事のやりがい、仕事の進め方、仕事のやりがい、仕事の進め方、仕事のやりがい、仕事の進め方、仕事のやりがい、仕事の進'],['信子は何の仕事をしていますか？信子は、何の仕事をしていますか？ 信子は、何の仕事をしていますか？ 信子は、何の仕事をしていますか？ 信子は、何の仕事をしていますか？ 信子は、何の仕事をしていますか？ 信子は、何']
29,照子,1926,1920,照子の職業は,照子の職種は,照子は何の仕事をしていますか？照子は,['照子の職業は、\n「光学機器の製造」\n「光学機器の製造」の仕事は、\n「光学機器の製造」の仕事は、\n「光学機器の製造」の仕事は、\n「光学機器の製造」の仕事は、\n「光学機器の製造」の仕事は、\n「光学機器の製造'],['照子の職種は、その場でお客様にご提案させていただきます。 【お仕事内容】 ・お客様のご要望に合わせた、お客様のニーズに合った商品の提案 ・お客様のニーズに合った商品の提案 ・お客様のニーズに合った商品の'],['照子は何の仕事をしていますか？照子は、何の仕事をしていますか？照子は、何の仕事をしていますか？照子は、何の仕事をしていますか？照子は、何の仕事をしていますか？照子は、何の仕事をしていますか？照子は、何の仕事をしてい']
30,昭子,1927,1920,昭子の職業は,昭子の職種は,昭子は何の仕事をしていますか？昭子は,['昭子の職業は、\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが強い。\n「お金持ち」というイメージが'],['昭子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ●お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['昭子は何の仕事をしていますか？昭子は、何の仕事をしていますか？ 昭子は、何の仕事をしていますか？ 昭子は、何の仕事をしていますか？ 昭子は、何の仕事をしていますか？ 昭子は、何の仕事をしていますか？ 昭子は、何']
31,節子,1927,1920,節子の職業は,節子の職種は,節子は何の仕事をしていますか？節子は,['節子の職業は、その人の人生の目的や目標を明確に伝えること。 その人の人生の目的や目標を明確に伝えること。 その人の人生の目的や目標を明確に伝えること。 その人の人生の目的や目標を明確に伝えること。 その人の人生の目的や目標を明確に伝えること。 '],['節子の職種は、お客様のご要望に合わせたお仕事内容をご提案します。 【具体的には】 ◆お客様のご要望に合わせたお仕事内容をご提案します。 ◆お客様のご要望に合わせたお仕事内容をご提案します。 ◆お'],['節子は何の仕事をしていますか？節子は何をしていますか？節子は何をしていますか？節子は何をしていますか？節子は何をしていますか？節子は何をしていますか？節子は何をしていますか？節子は何をしていますか？節子は何をしてい']
32,典子,1928,1920,典子の職業は,典子の職種は,典子は何の仕事をしていますか？典子は,['典子の職業は、その職業の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の「職業」の'],['典子の職種は、その職種に合った仕事内容を選ぶことが大切です。 また、仕事内容によっては、その職種に合った仕事内容を選ぶことができない場合もあるので、 その職種に合った仕事内容を選ぶことが大切です。 また、仕事内容によっては、その職種に合った仕事内容を選ぶ'],['典子は何の仕事をしていますか？典子は、１９９４年１２月１５日生まれの女性です。 典子は、１９９４年１２月１５日生まれの女性です。 典子は、１９９４年�']
33,孝子,1930,1930,孝子の職業は,孝子の職種は,孝子は何の仕事をしていますか？孝子は,['孝子の職業は、お金持ちの嫁の浮気を見破る方法とか、浮気不倫調査は探偵の旦那 浮気が浮気不倫調査は探偵に浮気不倫調査は探偵されます。\n浮気不倫調査は探偵の旦那 浮気が浮気不倫調査は探偵に'],['孝子の職種は、 ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・'],['孝子は何の仕事をしていますか？孝子は、何の仕事をしていますか？ 孝子： 私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私は、私']
34,美智子,1931,1930,美智子の職業は,美智子の職種は,美智子は何の仕事をしていますか？美智子は,['美智子の職業は、お金持ちの妻。 お金持ちの妻は、お金持ちの息子を育てる。 お金持ちの息子は、お金持ちの妻を育てる。 お金持ちの妻は、お金持ちの息子を育てる。 お金持ちの妻は、お金持ちの息子を育てる。'],['美智子の職種は、 ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ '],['美智子は何の仕事をしていますか？美智子は、美智子さんのことを「美智子さん」と呼んでいます。美智子さんは、美智子さんのことを「美智子さん」と呼んでいます。美智子さんは、美智子さんのことを「美智子さん」と呼んでいます。美']
35,洋子,1931,1930,洋子の職業は,洋子の職種は,洋子は何の仕事をしていますか？洋子は,['洋子の職業は、お金持ちの方で、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方は、お金持ちの方'],['洋子の職種は、お客様のご要望に合わせたお仕事をご提案させていただきます。 【具体的には】 ■お客様のご要望に合わせたお仕事をご提案させていただきます。 ・お客様のご要望に合わせたお仕事をご提案させていただきます'],['洋子は何の仕事をしていますか？洋子は、何の仕事をしていますか？洋子は、何の仕事をしていますか？洋子は、何の仕事をしていますか？洋子は、何の仕事をしていますか？洋子は、何の仕事をしていますか？洋子は、何の仕事をしてい']
36,弘子,1932,1930,弘子の職業は,弘子の職種は,弘子は何の仕事をしていますか？弘子は,['弘子の職業は、お金持ちの父と、お金持ちの母。 お金持ちの父とお金持ちの母は、お金持ちの父とお金持ちの母の間に生まれた子供。 お金持ちの父とお金持ちの母は、お金持ちの父とお金持ちの母の間に生まれた子供。 お'],['弘子の職種は、 ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・ ・'],['弘子は何の仕事をしていますか？弘子は、何の仕事をしていますか？ 弘子は、何の仕事をしていますか？ 弘子は、何の仕事をしていますか？ 弘子は、何の仕事をしていますか？ 弘子は、何の仕事をしていますか？ 弘子は、何']
