職業,総数,男,女
食料品検査従事者,48280,16080,32200
飲料・たばこ検査従事者,5510,2390,3130
紡織・衣服・繊維製品検査従事者,24020,4470,19550
木・紙製品検査従事者,13570,5340,8230
印刷・製本検査従事者,13380,4500,8880
ゴム・プラスチック製品検査従事者,77620,23950,53670
機械検査従事者,285770,168760,117010
はん用・生産用・業務用機械器具検査従事者,58480,38250,20230
電気機械器具検査従事者,118190,59250,58940
自動車検査従事者,87440,56650,30790
輸送機械検査従事者（自動車を除く）,10500,9130,1370
計量計測機器・光学機械器具検査従事者,11160,5480,5680
生産関連・生産類似作業従事者,584040,450740,133290
画工，塗装・看板制作従事者,232980,207990,24990
生産関連作業従事者（画工，塗装・看板制作を除く）,289300,201080,88220
生産類似作業従事者,61760,41670,20080
輸送・機械運転従事者,1983330,1907110,76220
鉄道運転従事者,37130,35570,1560
鉄道運転従事者,37130,35570,1560
自動車運転従事者,1445820,1387800,58020
自動車運転従事者,1445820,1387800,58020
船舶・航空機運転従事者,27900,27440,470
船長・航海士・運航士（漁労船を除く），水先人,14390,14140,250
船舶機関長・機関士（漁労船を除く）,6470,6430,30
航空機操縦士,7040,6860,180
車掌,23060,17360,5710
甲板員，船舶技士・機関員,14360,14100,260
他に分類されない輸送従事者,100700,95620,5090
定置・建設機械運転従事者,334350,329240,5120
発電員，変電員,34390,34010,380
ボイラー・オペレーター,7550,7540,10
クレーン・ウインチ運転従事者,48070,47590,480
建設・さく井機械運転従事者,86830,86150,690
建設・採掘従事者,2447480,2384560,62920
建設・土木作業従事者,1940120,1888080,52030
型枠大工,40840,40240,600
とび職,111940,110310,1630
鉄筋作業従事者,28990,28540,450
大工,297900,293360,4540
ブロック積・タイル張従事者,24510,23950,560
屋根ふき従事者,17010,16540,480
左官,59890,58610,1280
畳職,9130,8440,690
配管従事者,220720,217240,3480
土木従事者,456900,447610,9290
鉄道線路工事従事者,24750,24750,-
電気工事従事者,505940,495130,10810
電線架線・敷設従事者,47430,46890,540
電気通信設備工事従事者,79000,76370,2630
採掘従事者,1420,1350,70
砂利・砂・粘土採取従事者,200,200,-
運搬・清掃・包装等従事者,4198670,2225500,1973170
運搬従事者,1624920,1123160,501750
郵便・電報外務員,110450,99510,10940
船内・沿岸荷役従事者,14220,13970,250
陸上荷役・運搬従事者,245100,181770,63330
倉庫作業従事者,273930,186320,87600
配達員,696180,518540,177630
荷造従事者,285050,123040,162010
清掃従事者,1149320,495250,654060
ビル・建物清掃員,910680,294910,615770
廃棄物処理従事者,119970,113400,6570
ハウスクリーニング職,27760,17110,10650
包装従事者,274230,85740,188490
包装従事者,274230,85740,188490
