職業,総数,男,女
豆腐,58542,31218,27324
菓子,138609,105571,33038
パン,15770,13756,2014
精糖,1532,1365,167
こうじ,3781,2634,1147
みそ、しょうゆ,23742,21854,1888
和酒,6427,6024,403
清涼飲料,5985,4214,1771
缶詰,13655,5769,7886
製茶,4807,3486,1321
たばこ,14572,3777,10795
製氷,5131,4785,346
料理人,265279,159369,105910
土木建築,959765,948431,11334
大工,334502,334499,3
左官,76346,76307,39
コンクリートわく組,2670,2653,17
鉄筋工,4218,4181,37
コンクリートわく組,19729,19364,365
れんが積み,10175,10006,169
石工,62340,61974,366
？職,24606,24602,4
道路工夫,22859,22792,67
線路工夫,46966,46864,102
とび職,51475,51469,6
潜水夫,2289,2287,2
電気作業者,117823,116267,1556
発変電,21307,21294,13
通信電気装置,10673,10501,172
絵付、塗装,132630,112463,20167
画工、絵付,19517,13919,5598
漆工,28423,23700,4723
塗装,60531,53884,6647
メッキ工,13983,12377,1606
金属酸洗,3191,2419,772
砂吹,554,506,48
バフみがき,6431,5658,773
実験、検査,118320,82258,36062
実験工,24224,20754,3470
機械器具部品検査,18137,13130,5007
機械器具検査,21637,18984,2653
船体検査,1070,1062,8
機械試運転,4333,4255,78
紡織品検査,5222,2149,3073
選別工,43697,21924,21773
運輸、運搬,968255,923150,45105
機関士、運転士　蒸気機関車,34088,34087,1
運転士　電車,22463,22454,9
自動車運転手,171519,171211,308
車掌,49628,30537,19091
操車手、信号手,49394,47363,2031
船舶運転士,16432,16432,0
船舶機関士,13821,13820,1
かじ手、水夫,97875,91814,6061
航空機整備員,4828,4809,19
人力車夫,77502,77225,277
運搬夫、配達夫,430705,413398,17307
通信作業者,156184,91386,64798
有線電信,21096,19382,1714
無線電信,4333,4281,52
電話交換手,62831,325,62506
てい信？,67924,67398,526
医療、理容,426598,155514,271084
歯科技師,6486,5809,677
看護婦,71442,0,71442
産婆,38845,0,38845
あん摩,46245,32751,13494
接骨,2017,1939,78
理髪師、髪結い,178255,101050,77205
商業的作業者,2951379,1923610,1027769
物品仲買人,1421339,1113836,307503
店員、売り子,1530040,809774,720266
接客,491967,41016,450951
番頭、女中、給仕人,341625,41016,300609
芸妓,150342,0,150342
家事使用人,705250,36703,668547
家事使用人,705250,36703,668547
企画手,23275,21075,2200
守衛,57788,56773,1015
原動機運転工,27038,26418,620
起重機運転,17309,17301,8
汽かんし,23918,23915,3
火夫,46130,45333,797
？職,3504,289,3215
包装、びん、たる,28571,4365,24206
荷造,56229,22506,33723
給仕、雑役,581580,378099,203481
見習い工,161572,152504,9068
公務者,976533,767798,208735
官史、公史,299079,296967,2112
一般の官史、公史,284766,282654,2112
神官、神職,14313,14313,0
宗教家,144386,117542,26844
神道,34629,21230,13399
僧侶、仏教,100816,90776,10040
牧師、キリスト教,3320,2297,1023
教育,416034,262789,153245
小学校教員,285890,172923,112967
理科的科目担当教員,20066,18817,1249
文科的科目担当教員,29907,27026,2881
文化科学,1422,1337,85
法務者,13316,13291,25
判事、検事,2258,2258,0
弁護士,5828,5828,0
公証人,5230,5205,25
記者、芸術,75974,59822,16152
記者、芸術,13909,13699,210
文芸家,4920,4732,188
画家,21324,20616,708
音楽家、舞踏家、俳優,22903,12315,10588
